Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7214,Pérdida por deterioro de valor de activos,Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7215,Pérdida en venta de activos,Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7299,Costos por explotación de activos,Costo,73.52269
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",81,Gastos de administración,Gasto,8140.972019999999
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",8110,Gastos de funcionarios y empleados,Gasto,3727.4761
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",8120,Gastos generales,Gasto,2855.28422
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",8130,Depreciaciones y amortizaciones,Gasto,567.61669
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",8140,Provisiones,Gasto,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",8150,Gasto por impuesto sobre las ganancias,Gasto,990.59501
2024-01-01,"Banco Hipotecario de El Salvador, S.A",61,Ingresos financieros,Ingreso,13580.10415
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6110,Ingresos financieros,Ingreso,13575.30882
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6113,Ganancia por venta de inversiones financieras,Ingreso,4.79533
2024-01-01,"Banco Hipotecario de El Salvador, S.A",62,Otros ingresos financieros,Ingreso,484.1292800000001
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6210,Otros ingresos financieros,Ingreso,484.1292800000001
2024-01-01,"Banco Hipotecario de El Salvador, S.A",63,Ingresos de otras operaciones,Ingreso,621.52463
2024-01-01,"Banco Hipotecario de El Salvador, S.A",6310,Ingresos de otras operaciones,Ingreso,621.52463
2024-01-01,"Banco Hipotecario de El Salvador, S.A",71,Costos financieros,Costo,10253.07797
2024-01-01,"Banco Hipotecario de El Salvador, S.A",711,Costos financieros,Costo,8533.00651
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7110,Costos de pasivos financieros,Costo,8533.00651
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7112,Pérdidas por deterioro de activos financieros,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7114,Otros costos financieros,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,1720.07146
2024-01-01,"Banco Hipotecario de El Salvador, S.A",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",72,Costos de otras operaciones,Costo,269.29631
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7210,Comisiones de otros servicios,Costo,101.57725
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7212,Pérdidas por operaciones en moneda extranjera,Costo,84.72628
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7214,Pérdida por deterioro de valor de activos,Costo,51.35393
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7215,Pérdida en venta de activos,Costo,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",7299,Costos por explotación de activos,Costo,31.63885
2024-01-01,"Banco Hipotecario de El Salvador, S.A",81,Gastos de administración,Gasto,3645.72036
2024-01-01,"Banco Hipotecario de El Salvador, S.A",8110,Gastos de funcionarios y empleados,Gasto,1562.01514
2024-01-01,"Banco Hipotecario de El Salvador, S.A",8120,Gastos generales,Gasto,1324.43484
2024-01-01,"Banco Hipotecario de El Salvador, S.A",8130,Depreciaciones y amortizaciones,Gasto,208.08524
2024-01-01,"Banco Hipotecario de El Salvador, S.A",8140,Provisiones,Gasto,0.0
2024-01-01,"Banco Hipotecario de El Salvador, S.A",8150,Gasto por impuesto sobre las ganancias,Gasto,551.18514
2024-01-01,"Citibank N.A., Sucursal El Salvador",61,Ingresos financieros,Ingreso,1457.13743
2024-01-01,"Citibank N.A., Sucursal El Salvador",6110,Ingresos financieros,Ingreso,1457.13743
2024-01-01,"Citibank N.A., Sucursal El Salvador",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",6113,Ganancia por venta de inversiones financieras,Ingreso,0.0
