Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Abril de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00","1,000.00","4,000.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00","1,000.00","4,000.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00,0.00,5.10
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00,0.00,5.10
22 Otros pasivos,"151,885.29","29,959.49","45,010.43","9,699.78","3,850.03","27,254.57","8,176.51","18,878.86","35,388.29","29,461.83","3,354.73","19,005.50","1,380.04","3,293.53","386,598.87"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"115,809.27","19,301.30","22,680.86","4,928.98","1,653.11","18,370.28","7,462.18","9,098.87","21,623.86","16,052.46","1,481.66","17,155.92",646.24,"1,365.53","257,630.53"
2230 Retenciones,"1,790.58","1,303.24","1,160.93",356.41,209.34,184.13,130.40,794.73,"1,202.98","1,166.77",270.53,154.88,244.26,279.49,"9,248.69"
2240 Provisiones,"23,198.44","6,071.25","5,519.33","3,738.90","1,809.41","4,026.19",476.86,"3,158.70","10,259.34","6,097.55","1,537.46",341.37,347.98,"1,570.97","68,153.77"
224003 Otras provisiones,"7,242.99",10.14,0.00,451.33,185.80,12.11,0.00,"1,311.31","3,923.83",968.61,413.71,69.02,0.00,580.76,"15,169.60"
2250 Créditos diferidos,"11,087.00","3,283.70","15,649.31",675.48,178.16,"4,673.97",107.06,"5,826.55","2,302.11","6,145.04",65.09,"1,353.33",141.56,77.54,"51,565.89"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27"
