Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Julio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03",0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03",0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03",0.00,0.00,0.00,0.00,0.00,0.00,"30,622.03"
Total pasivos,"4,576,328.09","1,549,870.95","2,672,032.99","1,094,539.96","239,741.39","380,105.12","374,355.49","1,199,629.84","1,699,591.16","2,476,065.19","52,805.17","343,134.29","446,767.71","604,689.06","17,709,656.42"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"477,895.14","165,668.73","263,600.58","106,040.17","39,695.95","33,603.53","58,071.61","102,947.53","204,625.31","248,264.39","24,776.18","35,018.43","53,601.55","62,245.59","1,876,054.69"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,210,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"39,122.11","33,155.43","10,979.29","3,288.51","6,317.98","12,136.01","1,465.69","19,856.78","55,248.95","48,811.78","1,559.15","4,093.53","-26,405.91","-3,602.60","206,026.69"
314001 Resultados de ejercicios anteriores,-941.72,"23,044.97","1,300.07",25.00,"4,816.18","10,741.50",573.03,"17,167.50","48,649.57","38,308.83",590.21,"2,988.37","-26,663.20","-4,125.14","116,475.17"
314002 Resultados del presente ejercicio,"40,063.82","10,110.46","9,679.22","3,263.51","1,501.80","1,394.50",892.66,"2,689.28","6,599.38","10,502.96",968.94,"1,105.16",257.29,522.54,"89,551.52"
32 Patrimonio restringido,"84,355.53","27,607.24","39,480.77","26,680.10","4,399.19","13,911.32","2,925.93","14,726.64","32,206.67","25,864.86",760.26,"2,455.57",0.00,"11,277.41","286,651.50"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,344.22","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,467.63"
3230 Recuperaciones de activos castigados,0.00,6.66,"1,187.74","2,471.01",0.00,0.00,51.13,228.01,140.72,991.18,0.00,0.00,0.00,41.74,"5,118.19"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,824.04",413.37,"14,857.41","5,523.17",31.38,"3,769.40","1,563.01","5,765.12","6,633.80","6,282.86",18.04,98.81,0.00,"6,536.57","97,316.98"
Total patrimonio,"562,250.67","193,275.96","303,081.36","132,720.27","44,095.14","47,514.85","60,997.54","117,674.16","236,831.98","274,129.25","25,536.44","37,474.00","53,601.55","73,523.00","2,162,706.19"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,138,578.76","1,743,146.91","2,975,114.35","1,227,260.23","283,836.52","427,619.97","435,353.04","1,317,304.01","1,936,423.15","2,750,194.45","78,341.61","380,608.29","500,369.26","678,212.07","19,872,362.61"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"19,648.50","11,517.31","7,017.06",36.28,28.50,0.00,"8,087.33",0.00,71.22,"19,648.27",0.00,354.56,67.59,0.00,"66,476.62"
5120 Contingencias por avales y fianzas,"117,093.82","42,127.92","83,254.73","15,388.10","9,967.87","6,383.48","3,812.34","9,538.98","110,388.32","78,688.31",0.00,"17,988.37",0.00,"3,073.67","497,705.94"
5131 Compromisos por operaciones en moneda extranjera,"2,427.70",0.00,0.00,0.00,318.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,746.59"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"139,170.02","53,645.23","90,271.79","15,424.38","10,315.26","6,383.48","11,899.67","9,538.98","110,459.54","98,336.58",0.00,"18,342.93",67.59,"3,073.67","566,929.15"
