Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.56,837.56
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","149,129.76",0.00,0.00,0.00,"25,353.42",0.00,"135,776.36",0.00,0.00,"55,276.69","63,162.79","743,611.71"
215 Documentos transados,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,200.00",0.00,0.00,"4,500.00","17,700.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,200.00",0.00,0.00,"4,500.00","17,700.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"70,454.61","65,695.91","47,994.78","16,676.78","2,942.47","29,227.84","3,691.41","20,904.42","40,552.18","3,222.17","46,647.00","8,758.66","5,259.22","362,027.45"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"31,712.30","43,721.35","27,446.15","10,513.32",979.86,"20,383.99","3,096.73","12,743.64","24,249.52","2,024.34","45,759.38","7,777.76","2,137.79","232,546.11"
2230 Retenciones,"1,524.22","3,500.11","1,217.70",366.29,117.12,193.22,105.37,"1,110.00","1,387.53",245.33,112.42,255.47,348.09,"10,482.87"
2240 Provisiones,"24,194.11","13,173.45","5,668.56","4,426.57","1,654.36","3,315.66",421.58,"3,318.40","8,160.18",952.50,363.01,450.18,"2,711.97","68,810.54"
224003 Otras provisiones,"7,295.80",656.45,0.00,499.50,48.60,19.91,0.00,"1,519.12","3,175.09",409.76,40.78,0.00,"1,344.05","15,009.06"
2250 Créditos diferidos,"13,023.99","5,301.00","13,662.37","1,370.59",191.12,"5,334.97",67.73,"3,732.38","6,754.95",0.00,412.18,275.26,61.37,"50,187.92"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,399.38",0.00,0.00,0.00,0.00,0.00,"30,399.38"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,399.38",0.00,0.00,0.00,0.00,0.00,"30,399.38"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,399.38",0.00,0.00,0.00,0.00,0.00,"30,399.38"
Total pasivos,"4,509,108.09","3,147,927.98","2,589,488.78","1,339,763.44","192,059.14","391,108.80","349,275.16","1,178,847.47","2,604,496.87","76,092.72","368,055.43","514,999.06","743,525.23","18,004,748.17"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"540,838.40","342,041.26","283,519.68","114,101.54","36,438.47","36,713.71","56,803.08","93,322.52","258,897.52","24,581.68","36,858.75","54,874.45","76,898.01","1,955,889.09"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","19,057.46","51,598.94","70,788.87","161,000.44","20,333.67","30,000.00","80,000.00","75,000.00","1,263,415.52"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","28,791.35","3,724.30","2,736.48","3,752.14","15,309.09","40,250.11","3,032.91","1,227.76",117.31,946.82,"477,848.10"
3140 Resultados por aplicar,"65,187.68","47,151.61","23,898.39","11,875.89","2,714.16","14,919.77","1,452.00","7,224.56","57,646.98","1,215.10","5,630.99","-25,242.85",951.19,"214,625.47"
314001 Resultados de ejercicios anteriores,"-2,289.62","19,685.66","3,277.82",25.00,17.59,"12,410.31",73.02,"3,412.86","44,675.24",0.04,"2,878.14","-26,663.20","-4,412.58","53,090.27"
314002 Resultados del presente ejercicio,"67,477.30","27,465.95","20,620.58","11,850.89","2,696.57","2,509.46","1,378.98","3,811.69","12,971.74","1,215.06","2,752.85","1,420.35","5,363.77","161,535.20"
32 Patrimonio restringido,"109,586.27","69,976.17","40,439.63","34,905.60","4,502.37","13,324.82","3,705.44","32,015.33","34,166.90","2,212.10","4,424.52","1,233.34","12,883.54","363,376.02"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","21,881.24","4,181.07",0.00,"2,410.80","25,895.07","26,940.60","2,211.09","4,350.27",906.64,"6,036.64","222,073.56"
3220 Revaluaciones,"9,850.58","14,158.79","4,348.01","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"43,505.87"
3230 Recuperaciones de activos castigados,0.00,185.66,893.70,"2,399.90",0.00,0.00,39.97,541.13,"1,012.20",0.00,0.00,0.00,41.02,"5,113.60"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"50,121.47","2,873.53","10,310.19","5,662.16",321.30,"3,182.91","1,254.66","5,579.13","6,214.10",1.01,74.25,326.70,"6,728.91","92,650.31"
Total patrimonio,"650,424.66","412,017.44","323,959.32","149,007.14","40,940.83","50,038.53","60,508.52","125,337.86","293,064.42","26,793.78","41,283.27","56,107.79","89,781.55","2,319,265.11"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,159,532.75","3,559,945.42","2,913,448.10","1,488,770.58","232,999.97","441,147.34","409,783.68","1,304,185.32","2,897,561.28","102,886.50","409,338.70","571,106.86","833,306.77","20,324,013.27"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"15,490.55","15,255.08","21,744.49","1,069.49",735.00,0.00,"3,005.59",0.00,"22,217.53",0.00,"1,183.98",73.55,0.00,"80,775.27"
5120 Contingencias por avales y fianzas,"132,550.58","107,043.74","85,888.90","16,668.86","8,591.41","6,372.55","4,625.46","10,970.51","74,234.82",0.00,"16,300.13",0.00,"5,588.87","468,835.85"
5131 Compromisos por operaciones en moneda extranjera,"10,213.97",472.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,686.14"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"158,255.10","122,770.98","107,633.39","17,738.35","9,326.41","6,372.55","7,631.06","10,970.51","96,452.35",0.00,"17,484.12",73.55,"5,588.87","560,297.26"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,317,787.85","3,682,716.40","3,021,081.49","1,506,508.93","242,326.38","447,519.89","417,414.73","1,315,155.83","2,994,013.64","102,886.50","426,822.81","571,180.41","838,895.65","20,884,310.53"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
