Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
32 Patrimonio restringido,"81,689.29","61,840.20","25,590.51","32,330.01","3,489.66","14,288.40",0.00,"19,441.55","26,733.20","4,015.59","3,485.03","6,416.84","11,861.88","291,182.15"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,0.00,"15,540.82","21,591.33","4,014.96","3,287.14","4,512.87","6,237.06","164,957.09"
3220 Revaluaciones,"9,004.51","13,997.27","4,372.12","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"43,211.74"
3230 Recuperaciones de activos castigados,0.00,346.84,764.56,"4,106.27",0.00,0.00,0.00,300.40,923.93,0.00,0.00,37.00,94.96,"6,573.96"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"41,234.38","3,642.46","7,372.68","5,336.45",26.91,"3,457.14",0.00,"3,600.33","4,217.95",0.63,197.88,"1,866.97","5,452.89","76,406.66"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"642,196.30","419,825.25","341,456.71","169,242.40","40,362.30","56,568.46",0.00,"129,393.44","320,800.19","30,302.96","67,799.60","120,039.42","106,811.51","2,444,798.54"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,665,160.77","3,905,371.59","2,971,650.46","1,764,385.93","203,017.49","462,742.16",0.00,"1,316,608.40","3,101,789.39","151,986.77","539,748.57","829,259.74","981,394.68","21,893,115.95"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"14,993.87","19,252.04","15,095.82","1,267.56",0.00,0.00,0.00,0.00,"28,740.76",0.00,"1,213.17","4,408.96",0.00,"84,972.17"
5120 Contingencias por avales y fianzas,"83,029.11","93,139.20","97,807.04","16,018.31","5,341.35","5,717.66",0.00,"11,860.62","106,595.54",0.00,"16,129.99","1,874.57","12,458.89","449,972.29"
5131 Compromisos por operaciones en moneda extranjera,"23,282.99",450.04,0.00,0.00,92.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,825.20"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"121,305.98","112,841.28","112,902.86","17,285.86","5,433.52","5,717.66",0.00,"11,860.62","135,336.30",0.00,"17,343.15","6,283.53","12,458.89","558,769.66"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,786,466.75","4,018,212.87","3,084,553.32","1,781,671.79","208,451.01","468,459.82",0.00,"1,328,469.03","3,237,125.69","151,986.77","557,091.73","835,543.28","993,853.57","22,451,885.60"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
