Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de mayo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
22 Otros pasivos," 241,097.24 "," 80,416.21 "," 47,756.76 "," 12,068.47 "," 6,899.64 "," 29,973.52 "," 22,719.73 "," 48,802.00 "," 2,902.79 "," 15,157.83 "," 5,620.15 "," 5,811.16 "," 7,707.56 "," 526,933.07 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 188,032.35 "," 38,050.68 "," 18,906.93 "," 6,446.08 "," 4,305.40 "," 21,565.25 "," 13,452.18 "," 14,221.57 "," 1,155.42 "," 12,265.11 "," 3,340.62 "," 4,123.39 "," 3,697.11 "," 329,562.10 ",
2220 Cuentas por pagar," 174,746.27 "," 29,647.78 "," 16,014.74 "," 5,589.44 "," 3,835.80 "," 19,993.17 "," 11,045.67 "," 11,694.66 ", 915.20 ," 11,479.57 "," 2,721.52 "," 2,003.23 "," 3,612.70 "," 293,299.76 ",
2221 Impuestos," 13,286.09 "," 8,402.91 "," 2,892.19 ", 856.64 , 469.60 ," 1,572.08 "," 2,406.51 "," 2,526.90 ", 240.22 , 785.54 , 619.10 ," 2,120.15 ", 84.41 ," 36,262.34 ",
223 Retenciones y aportaciones patronales," 2,514.08 "," 3,886.04 "," 1,944.70 ", 592.72 , 217.67 , 199.43 ," 1,559.57 "," 2,035.67 ", 324.47 , 377.29 , 457.05 , 131.08 , 711.01 ," 14,950.76 ",
2230 Retenciones y aportaciones patronales," 2,514.08 "," 3,886.04 "," 1,944.70 ", 592.72 , 217.67 , 199.43 ," 1,559.57 "," 2,035.67 ", 324.47 , 377.29 , 457.05 , 131.08 , 711.01 ," 14,950.76 ",
224 Otros pasivos," 39,565.29 "," 13,781.93 "," 11,540.23 "," 3,909.39 "," 2,308.55 "," 3,357.79 "," 5,521.02 "," 18,115.50 ", 789.44 ," 1,061.44 ", 582.23 ," 1,345.74 "," 3,299.44 "," 105,177.99 ",
2240 Provisiones," 39,565.29 "," 13,781.93 "," 11,540.23 "," 3,909.39 "," 2,308.55 "," 3,357.79 "," 5,521.02 "," 18,115.50 ", 789.44 ," 1,061.44 ", 582.23 ," 1,345.74 "," 3,299.44 "," 105,177.99 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 10,985.50 "," 24,697.56 "," 15,364.90 "," 1,120.29 ", 68.02 ," 4,851.05 "," 2,186.96 "," 14,429.26 ", 633.46 ," 1,454.00 "," 1,240.26 ", 210.95 , -   ," 77,242.21 ",
