Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
32 Patrimonio restringido,"86,155.72","61,150.10","25,491.04","33,111.56","3,776.70","14,143.32","3,024.90","21,319.55","27,885.19","4,015.78","3,400.44","3,178.73","11,851.86","298,504.90"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"1,707.23","15,540.82","21,591.33","4,014.96","3,287.14","2,805.64","6,237.06","164,957.09"
3220 Revaluaciones,"9,004.51","13,997.27","4,370.66","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"43,210.28"
3230 Recuperaciones de activos castigados,0.00,386.19,790.38,"4,176.27",0.00,0.00,37.00,141.80,"1,003.52",0.00,0.00,0.00,40.52,"6,575.68"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,700.81","2,913.01","7,248.86","6,048.01",313.95,"3,312.06","1,280.67","5,636.93","5,290.35",0.82,113.30,373.08,"5,497.31","83,729.15"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"594,568.32","400,810.33","324,574.21","162,823.10","39,218.00","54,665.79","61,073.61","128,485.80","303,909.86","28,623.00","65,495.23","57,560.28","91,912.61","2,313,720.11"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,510,523.99","3,830,556.53","2,875,973.58","1,819,324.83","229,106.17","469,618.17","343,383.87","1,326,202.53","3,048,536.96","129,522.28","474,319.01","557,812.07","955,053.77","21,569,933.75"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"38,943.40","18,877.49","20,929.89","3,575.07",0.00,0.00,"4,868.13",0.00,"27,299.44",0.00,"1,193.22",0.00,0.00,"115,686.65"
5120 Contingencias por avales y fianzas,"113,209.99","107,809.47","96,774.10","15,181.26","8,543.75","6,353.41","2,511.60","11,272.96","123,861.37",0.00,"18,805.50",0.00,"12,527.92","516,851.34"
5131 Compromisos por operaciones en moneda extranjera,"11,501.76",187.86,0.00,0.00,23.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,713.26"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"163,655.15","126,874.83","117,703.98","18,756.34","8,567.39","6,353.41","7,379.73","11,272.96","151,160.82",0.00,"19,998.72",0.00,"12,527.92","644,251.25"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,674,179.13","3,957,431.36","2,993,677.56","1,838,081.17","237,673.57","475,971.58","350,763.60","1,337,475.49","3,199,697.77","129,522.28","494,317.73","557,812.07","967,581.68","22,214,185.00"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
