Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2121 Préstamos pactados hasta un año plazo,"120,828.04","74,332.29","127,601.29","21,091.28",0.00,16.20,"2,005.33","10,095.92","188,814.45","3,015.78","25,281.16","4,832.94","12,040.05","589,954.74"
2122 Préstamos pactados a mas de un año plazo,"7,172.24",101.49,"6,891.72","73,155.04",0.00,"7,207.49","1,668.68","45,206.73","52,577.74",0.00,"4,501.30","53,215.49","81,341.26","333,039.17"
2123 Préstamos pactados a cinco o mas años plazo,"254,875.70","130,220.42","130,514.00","13,556.66",0.00,"3,627.87",0.00,"101,896.13",0.00,0.00,0.00,"18,918.22","28,507.52","682,116.52"
2130 Obligaciones a la vista,"31,909.39","28,339.92","12,064.00","33,031.12","5,353.98",680.72,"4,187.43","9,740.15","22,462.10",916.68,"2,660.27","2,749.78","4,782.81","158,878.35"
214 Títulos de emisión propia,"162,040.10","152,773.38","201,792.63",0.00,0.00,0.00,"25,345.21",0.00,"105,576.78",0.00,0.00,"41,870.62","108,649.39","798,048.10"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,620.38","12,620.38"
2142 Pactados a mas de un año plazo,"162,040.10","152,773.38","201,792.63",0.00,0.00,0.00,"25,345.21",0.00,"105,576.78",0.00,0.00,"41,870.62","96,029.01","785,427.72"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,300.00",0.00,0.00,"1,000.00","2,300.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,300.00",0.00,0.00,"1,000.00","2,300.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"212,461.98","87,283.55","74,030.25","15,350.96","3,183.86","32,333.01","6,255.29","22,208.83","31,189.45","2,984.47","29,272.58","3,758.68","5,090.20","525,403.12"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"158,732.13","63,162.03","51,326.68","8,617.99","1,243.93","23,524.64","5,643.94","13,169.37","14,260.30","1,806.69","28,509.04","2,744.02","1,586.59","374,327.36"
2230 Retenciones,"3,630.24","3,853.91","2,660.52",563.20,126.03,191.49,121.93,"1,077.95","1,228.67",303.85,111.96,401.93,385.46,"14,657.14"
2240 Provisiones,"34,081.30","13,132.71","5,781.38","4,662.82","1,711.59","3,169.55",430.66,"4,291.83","8,478.07",860.82,252.29,224.40,"3,058.99","80,136.41"
224003 Otras provisiones,"8,267.05",257.83,0.00,633.17,126.61,4.54,0.00,"2,074.51","3,499.74",289.91,46.98,0.00,"1,751.22","16,951.55"
2250 Créditos diferidos,"16,018.31","7,134.90","14,261.67","1,506.94",102.31,"5,447.33",58.77,"3,669.68","7,222.42",13.10,399.28,388.34,59.16,"56,282.21"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,381.73",0.00,0.00,0.00,0.00,0.00,"30,381.73"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,381.73",0.00,0.00,0.00,0.00,0.00,"30,381.73"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,381.73",0.00,0.00,0.00,0.00,0.00,"30,381.73"
Total pasivos,"4,892,339.18","3,349,615.10","2,573,706.06","1,555,824.03","169,621.22","426,355.56","319,238.94","1,200,411.64","2,732,627.28","88,892.26","379,067.37","499,372.34","797,087.42","18,984,158.40"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"469,260.17","344,376.11","287,745.38","125,579.40","35,106.49","38,712.53","57,686.59","105,298.28","274,358.29","23,788.01","60,724.29","53,852.52","79,049.65","1,955,537.70"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","50,000.00","80,000.00","75,000.00","1,289,563.98"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","31,035.73","3,848.05","3,306.94","3,891.27","16,075.33","40,250.11","3,260.83","1,795.08",342.14,"1,582.84","480,768.09"
3140 Resultados por aplicar,"14,825.05","49,486.45","9,488.55","21,109.38","1,258.44","10,199.66","2,196.37","18,434.08","73,107.75",193.50,"8,929.21","-26,489.62","2,466.81","185,205.63"
