Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
32 Patrimonio restringido,"84,347.42","27,564.41","39,431.89","26,889.65","4,399.19","13,967.85","2,951.61","14,639.83","32,174.63","26,060.62",742.95,"2,444.79",8.14,"9,917.80","285,540.78"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,344.51","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,467.92"
3230 Recuperaciones de activos castigados,0.00,6.66,"1,187.74","2,471.01",0.00,0.00,51.13,87.21,140.72,"1,069.61",0.00,0.00,0.00,41.74,"5,055.81"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,815.93",370.54,"14,808.23","5,732.72",31.38,"3,825.93","1,588.69","5,819.12","6,601.75","6,400.19",0.73,88.03,8.14,"5,176.96","96,268.34"
Total patrimonio,"567,698.33","193,891.69","304,127.52","133,012.35","44,447.87","47,682.12","61,085.00","117,905.95","238,009.14","281,720.25","25,888.13","37,679.05","53,761.90","73,623.52","2,180,532.82"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,205,078.93","1,744,373.24","2,962,965.35","1,240,259.35","290,663.11","421,726.39","436,756.60","1,321,944.46","1,943,043.98","2,684,702.29","79,083.10","407,484.44","508,680.77","683,797.29","19,930,559.29"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"20,735.76","11,306.21","6,344.64",211.42,28.50,0.00,"7,450.52",0.00,0.00,"18,198.02",0.00,348.97,67.59,0.00,"64,691.64"
5120 Contingencias por avales y fianzas,"106,750.40","41,914.25","79,947.07","15,068.77","10,007.66","6,383.48","3,322.24","10,034.18","99,927.12","71,756.15",0.00,"18,013.94",0.00,"3,073.67","466,198.93"
5131 Compromisos por operaciones en moneda extranjera,990.32,440.41,0.00,0.00,597.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,028.07"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"128,476.48","53,660.87","86,291.71","15,280.18","10,633.49","6,383.48","10,772.76","10,034.18","99,927.12","89,954.17",0.00,"18,362.90",67.59,"3,073.67","532,918.63"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,333,555.41","1,798,034.11","3,049,257.06","1,255,539.53","301,296.60","428,109.87","447,529.36","1,331,978.65","2,042,971.11","2,774,656.45","79,083.10","425,847.35","508,748.36","686,870.96","20,463,477.93"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 22 de mayo de 2020, Scotiabank El Salvador, S. A. cambio su razón social a Banco Cuscatlán SV, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
