Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
211003 depósitos en cuenta de ahorro simplificada,"2,518.01",0.00,"1,247.50",0.00,0.00,0.00,0.00,0.00,72.38,0.00,8.13,0.00,"3,846.02"
2111 depósitos pactados hasta un año plazo,"823,321.71","929,278.78","847,281.85","850,474.79",0.00,"101,831.87","421,112.13","808,824.82","89,905.22","214,118.67","331,038.82","293,363.93","5,710,552.61"
2112 depósitos pactados a mas de un año plazo,"94,936.85","31,273.32","112,129.39","191,897.06",0.00,158.73,"33,999.22","56,520.76","17,168.17","3,043.05","21,949.90","172,569.03","735,645.48"
2114 depósitos restringidos e inactivos,"74,166.09","66,799.40","51,804.02","22,899.15","1,913.21","9,977.44","33,882.33","18,470.54","3,139.95","11,603.53","15,620.11","10,000.45","320,276.23"
212 Préstamos,"437,309.88","288,263.74","102,483.89","77,785.41","15,035.10","21,459.05","116,606.52","243,801.53","9,845.21","68,335.28","98,761.97","134,753.19","1,614,440.79"
2121 Préstamos pactados hasta un año plazo,"109,573.80","64,949.26","14,454.13","15,389.23","15,035.10",16.16,"22,852.73","154,280.23","1,604.58","30,939.21","5,186.35","13,256.80","447,537.58"
2122 Préstamos pactados a mas de un año plazo,"74,036.50","23,864.96","4,576.43","55,832.52",0.00,"3,853.79","25,171.79","89,521.31","3,068.00","37,396.07","50,361.34","80,061.93","447,744.64"
2123 Préstamos pactados a cinco o mas años plazo,"253,699.57","199,449.53","83,453.33","6,563.66",0.00,"17,589.10","68,582.00",0.00,"5,172.63",0.00,"43,214.29","41,434.46","719,158.57"
2130 Obligaciones a la vista,"17,235.09","16,696.96","9,522.32","32,585.13","2,735.95",118.26,"6,316.72","16,003.10",366.92,749.88,"3,183.19","1,064.97","106,578.50"
214 Títulos de emisión propia,"163,069.69","204,080.81","217,920.19","227,054.15",0.00,0.00,"43,779.81","164,063.34","5,562.94","66,158.11","55,067.69","184,744.04","1,331,500.77"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,"1,705.54","33,586.40","4,559.56","8,993.53",0.00,0.00,"48,845.04"
2142 Pactados a mas de un año plazo,"163,069.69","204,080.81","217,920.19","227,054.15",0.00,0.00,"42,074.26","130,476.94","1,003.38","57,164.58","55,067.69","184,744.04","1,282,655.73"
215 Documentos transados,0.00,0.00,0.00,"1,187.16",0.00,0.00,0.00,0.00,0.00,0.00,"16,278.20","6,750.00","24,215.35"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,"1,187.16",0.00,0.00,0.00,0.00,0.00,0.00,"16,278.20","6,750.00","24,215.35"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"119,762.54","88,759.22","49,273.98","17,145.30","5,201.95","31,369.33","20,673.31","40,028.88","2,198.44","33,071.34","8,118.37","5,193.06","420,795.71"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"65,642.00","43,762.23","30,162.60","11,202.86","2,237.68","22,826.44","13,060.22","19,658.75",790.61,"31,667.91","6,103.99","2,021.19","249,136.48"
2230 Retenciones,"4,048.81","3,506.56","1,997.59",672.00,556.62,251.56,"1,491.46","2,024.70",92.88,337.13,880.03,674.12,"16,533.46"
2240 Provisiones,"33,379.63","9,536.57","4,763.11","4,380.56","2,341.67","2,763.69","3,426.05","8,706.39",805.84,109.03,94.35,"2,418.48","72,725.36"
224003 Otras provisiones,"13,852.70",109.84,0.00,608.60,158.36,0.21,"2,025.47","3,455.32",230.45,10.24,0.00,"1,154.77","21,605.95"
2250 Créditos diferidos,"16,692.10","31,953.86","12,350.68",889.88,65.97,"5,527.64","2,695.59","9,639.04",509.11,957.27,"1,040.00",79.28,"82,400.41"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,347.04",0.00,0.00,0.00,0.00,0.00,"30,579.51",0.00,0.00,0.00,0.00,0.00,"100,926.56"
241 deuda subordinada a plazo fijo,"70,347.04",0.00,0.00,0.00,0.00,0.00,"30,579.51",0.00,0.00,0.00,0.00,0.00,"100,926.56"
2413 deuda subordinada a cinco o mas años,"70,347.04",0.00,0.00,0.00,0.00,0.00,"30,579.51",0.00,0.00,0.00,0.00,0.00,"100,926.56"
Total pasivos,"5,015,089.57","3,554,295.15","2,730,541.34","2,069,206.60","231,078.33","410,028.44","1,265,794.99","2,989,077.19","143,577.62","597,438.53","767,748.28","1,093,798.37","20,867,674.41"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"586,305.96","387,474.01","331,945.51","152,692.14","31,265.60","49,929.06","108,172.18","318,609.71","30,258.26","71,368.76","93,084.14","106,758.00","2,267,863.33"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","121,403.22","22,000.00","28,311.68","70,788.87","161,000.44","20,643.67","50,000.00","80,000.00","90,000.00","1,296,349.72"
3130 Reservas de capital,"162,513.85","90,187.82","147,618.60","20,836.37","4,719.52","5,084.29","17,697.22","40,250.11","3,942.14","3,414.23","5,115.45","2,932.56","504,312.17"
3140 Resultados por aplicar,"126,292.10","92,584.36","34,326.91","10,452.55","4,546.08","16,533.09","19,686.09","117,359.17","5,672.44","17,954.53","7,968.69","13,825.44","467,201.44"
314001 Resultados de ejercicios anteriores,"12,417.33","41,955.24","18,377.71",21.92,"4,546.08","10,494.53","14,005.24","78,248.73","3,536.33","12,703.86",0.00,"6,145.71","202,452.67"
314002 Resultados del presente ejercicio,"113,874.78","50,629.11","15,949.20","10,430.63",0.00,"6,038.56","5,680.85","39,110.44","2,136.11","5,250.67","7,968.69","7,679.72","264,748.77"
32 Patrimonio restringido,"66,068.59","59,234.42","27,954.61","39,537.03","5,348.05","14,809.22","18,127.51","25,879.02","3,187.64","4,129.73","8,742.04","10,363.53","283,381.38"
3210 Utilidades no distribuibles,"35,413.72","40,913.26","17,082.48","25,014.31","5,348.05",0.00,"15,281.90","23,572.62","3,187.08","3,976.59","6,303.68","7,075.05","183,168.74"
3220 Revaluaciones,"8,478.10","13,997.27","4,376.21","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,689.41"
