Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Junio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,424.27"
Total pasivos,"4,658,081.79","1,530,420.11","2,625,797.46","1,105,958.28","263,103.44","379,193.63","354,137.38","1,184,430.94","1,755,594.82","2,477,839.56","56,487.85","351,793.42","439,023.60","606,158.45","17,788,020.73"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"469,562.24","166,883.30","262,445.09","105,975.82","39,355.51","33,488.67","57,845.41","102,690.62","218,146.07","257,197.83","24,600.16","34,795.93","53,390.19","63,905.58","1,890,282.41"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","114,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,223,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"30,789.21","34,370.00","9,823.80","3,224.16","5,977.54","12,021.15","1,239.48","19,599.87","55,769.71","57,745.22","1,383.13","3,871.03","-26,617.28","-1,942.62","207,254.41"
314001 Resultados de ejercicios anteriores,"-1,510.96","25,526.71","1,144.69",25.00,"4,816.18","10,741.50",573.03,"17,167.75","50,149.57","48,284.49",606.92,"2,971.29","-26,663.20","-2,435.14","131,397.82"
314002 Resultados del presente ejercicio,"32,300.17","8,843.30","8,679.11","3,199.16","1,161.35","1,279.65",666.46,"2,432.12","5,620.14","9,460.73",776.22,899.74,45.93,492.52,"75,856.59"
32 Patrimonio restringido,"84,928.75","27,645.56","39,551.05","26,170.84","4,399.19","13,857.64","2,900.25","14,245.08","30,849.19","25,802.82",743.56,"2,472.65",0.00,"9,558.98","283,125.55"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,343.93","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,467.33"
3230 Recuperaciones de activos castigados,0.00,6.66,"1,192.72","2,471.01",0.00,0.00,51.13,228.01,151.69,999.78,0.00,0.00,0.00,41.74,"5,142.74"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"46,397.25",451.70,"14,922.99","5,013.91",31.38,"3,715.73","1,537.34","5,283.57","5,265.34","6,212.22",1.34,115.89,0.00,"4,818.14","93,766.78"
Total patrimonio,"554,490.99","194,528.87","301,996.14","132,146.65","43,754.70","47,346.31","60,745.66","116,935.70","248,995.26","283,000.65","25,343.71","37,268.58","53,390.19","73,464.55","2,173,407.97"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,212,572.78","1,724,948.98","2,927,793.60","1,238,104.94","306,858.14","426,539.94","414,883.04","1,301,366.65","2,004,590.08","2,760,840.21","81,831.56","389,062.00","492,413.79","679,623.01","19,961,428.70"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"26,063.79","11,851.48","8,388.46",603.35,26.00,0.00,"7,250.00",0.00,71.22,"18,827.68",0.00,364.73,0.00,0.00,"73,446.71"
5120 Contingencias por avales y fianzas,"111,834.63","44,706.75","90,146.63","14,095.14","9,443.50","6,383.48","3,227.68","9,399.34","110,411.32","81,127.20",0.00,"17,969.72",0.00,"3,113.67","501,859.05"
5131 Compromisos por operaciones en moneda extranjera,"3,094.14",1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,095.24"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"140,992.56","56,559.32","98,535.09","14,698.49","9,469.50","6,383.48","10,477.68","9,399.34","110,482.54","99,954.89",0.00,"18,334.45",0.00,"3,113.67","578,401.00"
