Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Marzo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,373.58","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,686.79"
3230 Recuperaciones de activos castigados,0.00,360.71,728.98,"4,493.58",0.00,0.00,437.21,659.27,0.00,0.00,37.00,98.35,"6,815.11"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"30,066.50","4,869.26","6,394.93","4,641.03",0.00,"3,923.86","3,337.53","4,308.75",0.61,188.28,"2,166.75","5,081.35","64,978.84"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"569,846.41","413,293.85","336,989.33","176,074.83","42,068.23","59,534.95","121,563.00","328,661.38","32,018.92","70,429.76","116,671.10","109,562.68","2,376,714.46"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,703,583.52","3,906,319.44","3,051,843.72","2,063,506.45","218,013.69","463,939.98","1,359,866.79","3,137,984.20","156,161.66","600,278.51","840,485.30","1,081,479.33","22,583,462.58"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"12,488.77","23,629.61","8,316.80",78.66,0.00,0.00,0.00,"53,234.87",0.00,"1,303.68","3,440.52",0.00,"102,492.91"
5120 Contingencias por avales y fianzas,"82,936.27","85,685.38","113,964.48","17,671.10","5,343.12","5,716.47","10,692.59","101,135.17",0.00,"19,868.76","1,908.77","6,823.82","451,745.93"
5131 Compromisos por operaciones en moneda extranjera,"15,097.88",445.38,0.00,0.00,137.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,681.21"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"110,522.92","109,760.36","122,281.29","17,749.75","5,481.07","5,716.47","10,692.59","154,370.04",0.00,"21,172.44","5,349.29","6,823.82","569,920.04"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,814,106.44","4,016,079.80","3,174,125.01","2,081,256.21","223,494.75","469,656.46","1,370,559.38","3,292,354.24","156,161.66","621,450.95","845,834.59","1,088,303.15","23,153,382.62"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
