Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de abril de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2118 Préstamos pactados a cinco o mas años plazo," 242,885.65 "," 132,515.70 "," 57,820.78 "," 2,673.11 "," 1,215.02 "," 20,319.56 "," 50,460.60 ", -   ," 3,570.04 ", -   ," 89,086.22 "," 12,019.87 "," 41,507.66 "," 654,074.21 ",
2119 Préstamos subordinados," 70,271.28 ", -   , -   , -   , -   , -   ," 44,517.23 ", -   , -   , -   , -   , -   , -   ," 114,788.51 ",
212 Títulos de emisión propia," 58,263.33 "," 143,420.90 "," 142,845.06 "," 398,785.12 ", -   , -   ," 39,822.91 "," 158,642.84 "," 6,846.07 "," 66,132.44 "," 15,960.26 "," 9,592.57 "," 165,020.17 "," 1,205,331.67 ",
2120 Títulos de emisión propia," 58,263.33 "," 143,420.90 "," 142,845.06 "," 398,785.12 ", -   , -   ," 39,822.91 "," 158,642.84 "," 6,846.07 "," 66,132.44 "," 15,960.26 "," 9,592.57 "," 165,020.17 "," 1,205,331.67 ",
213 Obligaciones a la vista," 19,591.95 "," 17,478.87 "," 11,056.89 "," 29,329.66 "," 13,977.07 ", 24.33 ," 5,363.40 "," 18,420.17 ", 651.24 ," 6,560.97 "," 2,571.34 "," 1,318.94 "," 2,885.58 "," 129,230.41 ",
2130 Obligaciones a la vista," 19,591.95 "," 17,478.87 "," 11,056.89 "," 29,329.66 "," 13,977.07 ", 24.33 ," 5,363.40 "," 18,420.17 ", 651.24 ," 6,560.97 "," 2,571.34 "," 1,318.94 "," 2,885.58 "," 129,230.41 ",
22 Otros pasivos," 228,217.74 "," 73,821.11 "," 49,415.17 "," 11,889.02 "," 7,487.84 "," 27,931.81 "," 20,109.90 "," 47,142.86 "," 2,806.95 "," 13,246.01 "," 6,630.78 "," 5,348.95 "," 7,621.97 "," 501,670.09 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 176,171.31 "," 32,364.59 "," 21,517.95 "," 6,611.04 "," 4,980.96 "," 19,786.01 "," 11,258.63 "," 14,604.73 ", 935.93 ," 10,403.52 "," 4,453.70 "," 3,826.19 "," 3,879.28 "," 310,793.83 ",
