Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2220 Cuentas por pagar," 171,400.80 "," 27,001.55 "," 18,304.15 "," 6,124.56 "," 1,953.30 "," 20,247.49 "," 9,511.55 "," 12,492.51 ", 801.06 ," 14,582.11 "," 4,973.48 "," 2,514.80 "," 6,322.99 "," 296,230.34 ",
2221 Impuestos," 22,541.92 "," 10,974.08 "," 4,211.44 "," 1,092.43 ", 873.44 ," 2,373.04 "," 3,754.91 "," 1,460.86 ", 334.25 ," 1,301.58 ", 744.10 ," 2,673.05 ", 89.17 ," 52,424.29 ",
223 Retenciones y aportaciones patronales," 2,839.57 "," 3,994.24 "," 1,884.34 ", 586.54 , 162.57 , 201.55 ," 1,638.46 "," 2,306.43 ", 361.01 , 369.62 , 441.23 , 133.32 , 983.60 ," 15,902.50 ",
2230 Retenciones y aportaciones patronales," 2,839.57 "," 3,994.24 "," 1,884.34 ", 586.54 , 162.57 , 201.55 ," 1,638.46 "," 2,306.43 ", 361.01 , 369.62 , 441.23 , 133.32 , 983.60 ," 15,902.50 ",
224 Otros pasivos," 41,083.67 "," 12,643.61 "," 11,753.72 "," 3,349.44 "," 2,425.49 "," 3,100.13 "," 5,027.21 "," 17,323.19 ", 874.03 , 880.47 , 799.48 ," 1,185.64 "," 3,543.21 "," 103,989.28 ",
2240 Provisiones," 41,083.67 "," 12,643.61 "," 11,753.72 "," 3,349.44 "," 2,425.49 "," 3,100.13 "," 5,027.21 "," 17,323.19 ", 874.03 , 880.47 , 799.48 ," 1,185.64 "," 3,543.21 "," 103,989.28 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,275.14 "," 25,155.48 "," 17,766.29 "," 1,056.26 ", 59.25 ," 5,248.29 "," 2,016.91 "," 14,473.83 ", 710.69 ," 1,636.44 "," 1,216.08 ", 192.98 , -   ," 80,807.64 ",
2250 Pasivos diferidos," 11,275.14 "," 25,155.48 "," 17,766.29 "," 1,056.26 ", 59.25 ," 5,248.29 "," 2,016.91 "," 14,473.83 ", 710.69 ," 1,636.44 "," 1,216.08 ", 192.98 , -   ," 80,807.64 ",
Total Pasivos," 6,073,078.21 "," 4,126,377.42 "," 3,094,594.65 "," 2,182,252.77 "," 171,593.18 "," 465,430.48 "," 1,391,780.01 "," 3,571,775.76 "," 197,206.69 "," 850,962.98 "," 881,120.15 "," 252,520.54 "," 1,270,373.92 "," 24,529,066.76 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 555,165.86 "," 424,670.59 "," 347,240.23 "," 182,621.70 "," 44,057.46 "," 62,157.61 "," 103,130.35 "," 355,532.17 "," 32,054.90 "," 103,646.30 "," 93,771.95 "," 36,531.99 "," 122,233.93 "," 2,462,815.03 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 21,315.92 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 535,883.04 ",
3140 Resultados por aplicar," 98,204.36 "," 129,780.93 "," 25,090.93 "," 15,918.09 "," 16,557.46 "," 15,482.54 "," 8,729.83 "," 154,281.63 "," 4,164.29 "," 29,319.48 "," 7,719.60 "," 10,231.87 "," 5,195.67 "," 520,676.66 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 74,985.92 "," 60,374.71 "," 31,796.78 "," 38,611.38 "," 4,353.72 "," 13,559.84 "," 14,376.72 "," 30,964.98 "," 2,826.83 "," 4,824.82 "," 10,243.05 "," 3,855.29 "," 12,883.47 "," 303,657.51 ",
3210 Utilidades no distribuibles," 73,890.25 "," 46,787.47 "," 27,750.86 "," 34,056.09 "," 4,306.83 "," 2,728.58 "," 15,451.95 "," 32,532.93 "," 2,788.56 "," 4,953.04 "," 10,243.05 "," 4,023.77 "," 12,850.78 "," 272,364.16 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,045.93 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,567.95)", 38.27 , (128.22), -   , (168.48), -   ," 31,260.65 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,045.93 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,764.40)", 38.27 , (119.45), -   , (168.48), -   ," 31,072.98 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 196.44 , -   , (8.77), -   , -   , -   , 187.67 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 630,151.78 "," 485,045.30 "," 379,037.02 "," 221,233.08 "," 48,411.18 "," 75,717.44 "," 117,507.07 "," 386,497.15 "," 34,881.72 "," 108,471.12 "," 104,015.00 "," 40,387.28 "," 135,117.40 "," 2,766,472.54 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,703,229.99 "," 4,611,422.72 "," 3,473,631.66 "," 2,403,485.85 "," 220,004.36 "," 541,147.93 "," 1,509,287.08 "," 3,958,272.91 "," 232,088.41 "," 959,434.11 "," 985,135.15 "," 292,907.82 "," 1,405,491.32 "," 27,295,539.30 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 14,052.04 "," 10,906.84 "," 22,395.76 ", 394.44 , -   , -   , 161.52 ," 85,782.51 ", -   ," 1,301.50 "," 4,101.83 ", -   , -   ," 139,096.42 ",
5120 Contingencias por avales y fianzas," 73,494.95 "," 70,812.09 "," 107,139.76 "," 12,375.71 "," 3,409.02 "," 5,732.38 "," 4,578.70 "," 55,401.33 ", -   ," 14,844.48 "," 3,220.30 ", -   ," 9,303.35 "," 360,312.06 ",
5130 Operaciones con instrumentos financieros derivados," 8,417.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,417.08 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , 622.53 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 622.53 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 95,964.07 "," 82,341.46 "," 129,535.51 "," 12,770.14 "," 3,409.02 "," 5,732.38 "," 4,740.21 "," 141,183.84 ", -   ," 16,145.98 "," 7,322.13 ", -   ," 9,303.35 "," 508,448.09 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,799,194.06 "," 4,693,764.18 "," 3,603,167.18 "," 2,416,255.99 "," 223,413.38 "," 546,880.30 "," 1,514,027.29 "," 4,099,456.75 "," 232,088.41 "," 975,580.09 "," 992,457.27 "," 292,907.82 "," 1,414,794.67 "," 27,803,987.39 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
