Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A. 1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2114 depósitos restringidos e inactivos,"75,424.05","77,122.37","50,854.13","15,709.79","1,875.04","6,462.51","5,272.74","21,670.37",0.00,"17,433.29","4,787.00","4,705.15","6,701.21","6,187.37","294,205.02"
212 Préstamos,"330,240.12","239,863.39","312,922.38","117,405.68","20,002.38","11,944.00","11,397.29","140,194.79",0.00,"205,401.17",0.00,"52,296.00","68,729.35","95,972.23","1,606,368.79"
2121 Préstamos pactados hasta un año plazo,"30,485.19","20,127.79","162,819.65","24,654.09","20,002.38",35.98,"5,907.07","16,111.71",0.00,"137,530.16",0.00,"8,229.20",95.11,"8,888.40","434,886.72"
2122 Préstamos pactados a mas de un año plazo,"61,744.75","56,439.88","10,100.26","73,410.78",0.00,"11,899.51","5,490.22","53,399.04",0.00,"67,871.01",0.00,"44,066.80","53,261.79","61,874.29","499,558.34"
2123 Préstamos pactados a cinco o mas años plazo,"238,010.18","163,295.72","140,002.48","19,340.82",0.00,8.50,0.00,"70,684.04",0.00,0.00,0.00,0.00,"15,372.45","25,209.53","671,923.73"
2130 Obligaciones a la vista,"18,466.70","15,376.91","34,281.29","35,856.90","2,817.97",977.50,881.17,"7,607.79",0.00,"12,815.97",59.13,"1,642.94","1,838.84","1,351.20","133,974.31"
214 Títulos de emisión propia,"212,120.14","158,044.48","144,977.02",0.00,0.00,0.00,"25,102.46",0.00,0.00,"136,128.83",0.00,0.00,"56,836.64","79,879.07","813,088.62"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,830.97,830.97
2142 Pactados a mas de un año plazo,"212,120.14","158,044.48","144,977.02",0.00,0.00,0.00,"25,102.46",0.00,0.00,"136,128.83",0.00,0.00,"56,836.64","79,048.10","812,257.65"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000.00","5,000.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000.00","5,000.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.33,0.00,0.00,0.00,20.33
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.33,0.00,0.00,0.00,20.33
22 Otros pasivos,"88,261.72","67,934.58","49,047.84","11,916.04","3,177.63","30,362.37","4,153.16","21,822.63",0.00,"45,798.97","2,395.99","12,995.57","1,466.19","4,878.42","344,211.10"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"55,227.62","46,168.30","28,089.94","6,334.18","1,258.00","21,694.34","3,607.39","12,420.97",0.00,"32,692.89","1,661.91","11,640.14",832.88,"2,377.69","224,006.24"
2230 Retenciones,"2,585.14","2,658.87","1,646.79",488.52,151.92,267.66,171.90,"1,152.68",0.00,"1,326.17",152.60,176.35,312.29,759.27,"11,850.14"
2240 Provisiones,"19,232.91","14,650.06","6,619.17","3,828.98","1,633.91","3,339.64",296.29,"3,518.81",0.00,"6,163.19",581.47,146.24,157.55,"1,430.68","61,598.90"
224003 Otras provisiones,"7,738.90","1,639.48","1,994.76",366.44,152.82,32.57,0.00,"2,372.40",0.00,"2,032.54",94.47,52.88,0.00,545.38,"17,022.62"
2250 Créditos diferidos,"11,216.05","4,457.35","12,691.95","1,264.36",133.80,"5,060.72",77.58,"4,730.17",0.00,"5,616.72",0.00,"1,032.84",163.48,310.79,"46,755.82"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.12"
Total pasivos,"4,692,266.78","3,294,842.75","2,631,263.83","1,224,283.44","201,914.93","378,230.04","374,807.67","1,209,310.93",0.00,"2,586,064.27","54,168.04","361,549.13","482,417.90","692,286.77","18,183,406.49"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"475,650.72","354,076.86","261,516.84","105,684.54","40,749.39","34,204.25","55,424.10","89,308.45",0.00,"244,487.92","23,366.59","34,099.53","53,454.10","62,725.51","1,834,748.80"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","19,057.46","51,598.94","70,788.87",0.00,"161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,253,415.52"
3130 Reservas de capital,"141,273.03","90,187.82","102,621.29","32,225.25","3,724.30","2,736.48","3,752.14","15,309.09",0.00,"40,250.11","3,032.91","1,227.76",117.31,946.82,"437,404.32"
3140 Resultados por aplicar,"36,877.68","59,187.20","8,895.55",25.00,"7,025.09","12,410.31",73.02,"3,210.49",0.00,"43,237.38",0.00,"2,871.77","-26,663.20","-3,221.32","143,928.97"
314001 Resultados de ejercicios anteriores,"-6,759.88","59,187.20","1,621.40",25.00,"4,816.18","10,728.70",73.02,"3,210.49",0.00,"29,709.69",0.00,"2,871.77","-26,663.20","-3,221.32","75,599.05"
314002 Resultados del presente ejercicio,"43,637.57",0.00,"7,274.16",0.00,"2,208.91","1,681.60",0.00,0.00,0.00,"13,527.69",0.00,0.00,0.00,0.00,"68,329.92"
32 Patrimonio restringido,"110,836.67","72,196.89","44,452.34","31,786.80","4,494.87","14,007.64","3,694.61","32,786.38",0.00,"35,931.13","2,212.13","4,430.89",973.94,"14,087.20","371,891.47"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","18,447.35","4,463.49",0.00,"2,410.80","26,034.39",0.00,"27,863.74","2,211.09","4,350.27",906.64,"6,036.64","219,984.54"
3220 Revaluaciones,"9,860.23","14,158.96","4,345.68","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,230.16","45,699.24"
3230 Recuperaciones de activos castigados,0.00,189.12,"1,138.76","2,424.21",0.00,0.00,45.26,214.48,0.00,"1,082.88",0.00,0.00,0.00,33.99,"5,128.70"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"51,362.22","5,090.61","14,080.17","5,952.94",31.38,"3,865.72","1,238.55","6,537.50",0.00,"6,984.51",1.04,80.62,67.30,"5,753.72","101,046.29"
Total patrimonio,"586,487.38","426,273.75","305,969.18","137,471.34","45,244.26","48,211.89","59,118.71","122,094.82",0.00,"280,419.05","25,578.72","38,530.42","54,428.04","76,812.71","2,206,640.28"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,278,754.16","3,721,116.49","2,937,233.01","1,361,754.79","247,159.19","426,441.93","433,926.38","1,331,405.76",0.00,"2,866,483.32","79,746.76","400,079.55","536,845.94","769,099.47","20,390,046.77"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"22,875.88","20,701.60","9,194.21","12,815.91",83.47,0.00,"6,768.97",0.00,0.00,"31,930.83",0.00,598.81,122.00,0.00,"105,091.68"
5120 Contingencias por avales y fianzas,"116,797.94","126,749.12","74,675.12","16,942.12","10,303.12","6,379.71","4,076.33","9,990.91",0.00,"64,849.39",0.00,"13,075.61",0.00,"4,713.14","448,552.51"
5131 Compromisos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"139,673.82","147,450.72","83,869.33","29,758.03","10,386.59","6,379.71","10,845.30","9,990.91",0.00,"96,780.22",0.00,"13,674.41",122.00,"4,713.14","553,644.18"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,418,427.99","3,868,567.21","3,021,102.35","1,391,512.82","257,545.78","432,821.64","444,771.68","1,341,396.66",0.00,"2,963,263.54","79,746.76","413,753.96","536,967.95","773,812.61","20,943,690.95"
 ,,,,,,,,,,,,,,,
"1/ A partir de noviembre 2020, Banco Cuscatlán de El Salvador, S.A.,  absorbió a Banco Cuscatlán Sv, S.A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
