Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"26,024.56","28,400.72","6,462.76","2,485.19","5,397.31","11,090.21","1,036.96","18,263.84","53,654.87","55,461.24",915.91,"3,427.79","-26,925.19","-2,100.86","183,595.31"
314001 Resultados de ejercicios anteriores,260.40,"25,523.36","1,120.93",25.00,"4,816.18","10,741.50",573.21,"17,163.51","50,281.08","48,089.15",607.90,"2,977.88","-26,663.20","-2,435.14","133,081.76"
314002 Resultados del presente ejercicio,"25,764.16","2,877.36","5,341.83","2,460.19",581.13,348.70,463.75,"1,100.32","3,373.80","7,372.10",308.02,449.91,-261.98,334.28,"50,513.55"
32 Patrimonio restringido,"82,961.93","27,646.56","39,609.66","25,867.92","4,399.19","13,694.53","2,823.04","13,878.39","30,677.15","25,783.19",742.58,"2,466.06",0.00,"9,357.60","279,907.78"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,343.05","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,466.46"
3230 Recuperaciones de activos castigados,0.00,8.59,"1,208.22","2,471.01",0.00,0.00,51.13,228.01,159.50,"1,000.57",0.00,0.00,0.00,41.74,"5,168.78"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"44,430.43",450.75,"14,966.98","4,710.99",31.38,"3,552.61","1,460.13","4,916.87","5,085.48","6,191.80",0.35,109.30,0.00,"4,616.76","90,523.84"
