Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de junio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2118 Préstamos pactados a cinco o mas años plazo," 5,951.06 "," 122,944.89 "," 45,957.49 "," 2,105.39 "," 1,165.00 "," 20,515.33 "," 50,789.01 ", -   ," 3,615.18 ", -   ," 88,836.20 "," 12,031.21 "," 39,548.04 "," 393,458.80 ",
2119 Préstamos subordinados," 69,737.57 ", -   , -   , -   , -   , -   ," 44,859.19 ", -   , -   , -   , -   , -   , -   ," 114,596.76 ",
212 Títulos de emisión propia," 55,467.69 "," 135,966.84 "," 146,354.91 "," 398,382.29 ", -   , -   ," 39,630.96 "," 158,444.49 "," 7,673.65 "," 59,356.41 "," 16,035.08 "," 8,040.98 "," 147,535.17 "," 1,172,888.45 ",
2120 Títulos de emisión propia," 55,467.69 "," 135,966.84 "," 146,354.91 "," 398,382.29 ", -   , -   ," 39,630.96 "," 158,444.49 "," 7,673.65 "," 59,356.41 "," 16,035.08 "," 8,040.98 "," 147,535.17 "," 1,172,888.45 ",
213 Obligaciones a la vista," 21,400.22 "," 20,002.82 "," 13,069.87 "," 29,473.50 "," 1,378.82 ", 28.63 ," 6,557.06 "," 18,780.25 ", 509.31 ," 5,692.27 "," 2,273.16 "," 1,536.95 "," 1,350.96 "," 122,053.84 ",
2130 Obligaciones a la vista," 21,400.22 "," 20,002.82 "," 13,069.87 "," 29,473.50 "," 1,378.82 ", 28.63 ," 6,557.06 "," 18,780.25 ", 509.31 ," 5,692.27 "," 2,273.16 "," 1,536.95 "," 1,350.96 "," 122,053.84 ",
22 Otros pasivos," 243,853.49 "," 80,131.43 "," 50,464.34 "," 13,026.01 "," 5,515.87 "," 29,283.96 "," 19,513.76 "," 52,862.93 "," 3,032.05 "," 14,015.88 "," 6,556.54 "," 5,837.97 "," 8,576.15 "," 532,670.37 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 191,966.68 "," 39,147.90 "," 22,322.84 "," 7,934.26 "," 3,021.71 "," 21,145.99 "," 10,879.95 "," 20,729.21 "," 1,282.49 "," 11,308.43 "," 4,085.93 "," 4,415.07 "," 4,955.55 "," 343,196.03 ",
2220 Cuentas por pagar," 174,917.78 "," 29,569.72 "," 19,382.13 "," 6,988.46 "," 2,424.27 "," 19,278.26 "," 8,368.55 "," 17,468.74 "," 1,025.20 "," 10,381.44 "," 3,466.83 "," 2,139.51 "," 4,869.58 "," 300,280.46 ",
2221 Impuestos," 17,048.91 "," 9,578.18 "," 2,940.71 ", 945.81 , 597.44 ," 1,867.73 "," 2,511.40 "," 3,260.47 ", 257.29 , 926.99 , 619.10 ," 2,275.56 ", 85.97 ," 42,915.57 ",
223 Retenciones y aportaciones patronales," 3,973.57 "," 4,745.43 "," 2,790.44 ", 893.83 , 232.35 , 328.76 ," 1,978.09 "," 2,856.57 ", 326.94 , 537.44 , 579.19 , 130.02 , 952.88 ," 20,325.50 ",
2230 Retenciones y aportaciones patronales," 3,973.57 "," 4,745.43 "," 2,790.44 ", 893.83 , 232.35 , 328.76 ," 1,978.09 "," 2,856.57 ", 326.94 , 537.44 , 579.19 , 130.02 , 952.88 ," 20,325.50 ",
224 Otros pasivos," 36,453.85 "," 10,968.11 "," 10,427.00 "," 3,028.09 "," 2,192.64 "," 2,793.46 "," 4,569.91 "," 14,732.48 ", 772.66 , 731.36 , 657.16 ," 1,081.42 "," 2,667.71 "," 91,075.85 ",
2240 Provisiones," 36,453.85 "," 10,968.11 "," 10,427.00 "," 3,028.09 "," 2,192.64 "," 2,793.46 "," 4,569.91 "," 14,732.48 ", 772.66 , 731.36 , 657.16 ," 1,081.42 "," 2,667.71 "," 91,075.85 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,459.39 "," 25,269.99 "," 14,924.06 "," 1,169.82 ", 69.16 ," 5,015.76 "," 2,085.81 "," 14,544.67 ", 649.96 ," 1,438.65 "," 1,234.26 ", 211.46 , -   ," 78,072.99 ",
2250 Pasivos diferidos," 11,459.39 "," 25,269.99 "," 14,924.06 "," 1,169.82 ", 69.16 ," 5,015.76 "," 2,085.81 "," 14,544.67 ", 649.96 ," 1,438.65 "," 1,234.26 ", 211.46 , -   ," 78,072.99 ",
Total Pasivos," 5,730,394.40 "," 4,095,666.73 "," 3,018,728.03 "," 2,228,640.79 "," 160,463.34 "," 454,479.13 "," 1,364,353.36 "," 3,468,075.09 "," 184,538.75 "," 811,972.68 "," 886,914.97 "," 238,665.06 "," 1,265,801.83 "," 23,908,694.15 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
