Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de octubre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
212 Títulos de emisión propia," 145,781.95 "," 163,477.01 "," 194,026.34 "," 398,807.62 ", -   , -   ," 44,125.81 "," 146,151.27 "," 8,597.03 "," 53,213.35 "," 21,046.81 "," 7,531.23 "," 187,806.30 "," 1,370,564.72 ",,
2120 Títulos de emisión propia," 145,781.95 "," 163,477.01 "," 194,026.34 "," 398,807.62 ", -   , -   ," 44,125.81 "," 146,151.27 "," 8,597.03 "," 53,213.35 "," 21,046.81 "," 7,531.23 "," 187,806.30 "," 1,370,564.72 ",,
213 Obligaciones a la vista," 22,896.75 "," 16,695.93 "," 21,108.46 "," 28,499.54 "," 1,223.14 ", 89.90 ," 6,292.60 "," 19,529.50 ", 128.06 ," 2,392.11 "," 3,134.20 "," 1,277.51 ", 918.27 ," 124,185.96 ",,
2130 Obligaciones a la vista," 22,896.75 "," 16,695.93 "," 21,108.46 "," 28,499.54 "," 1,223.14 ", 89.90 ," 6,292.60 "," 19,529.50 ", 128.06 ," 2,392.11 "," 3,134.20 "," 1,277.51 ", 918.27 ," 124,185.96 ",,
22 Otros pasivos," 115,831.54 "," 80,772.99 "," 48,356.09 "," 10,623.09 "," 5,468.85 "," 31,646.79 "," 18,419.32 "," 57,249.90 "," 2,398.82 "," 12,886.55 "," 8,875.26 "," 6,246.68 "," 8,561.96 "," 407,337.84 ",,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 64,253.67 "," 34,472.90 "," 23,751.42 "," 5,338.87 "," 2,809.22 "," 22,766.94 "," 9,302.88 "," 24,785.60 "," 1,000.28 "," 10,825.24 "," 6,539.64 "," 4,902.86 "," 3,632.34 "," 214,381.84 ",,
2220 Cuentas por pagar," 38,645.89 "," 23,323.56 "," 19,073.78 "," 5,027.28 ", 926.98 ," 20,371.56 "," 6,632.76 "," 21,626.68 ", 979.80 ," 9,168.25 "," 6,060.72 "," 2,301.70 "," 3,326.64 "," 157,465.61 ",,
2221 Impuestos," 25,607.78 "," 11,149.34 "," 4,677.63 ", 311.59 ," 1,882.23 "," 2,395.38 "," 2,670.11 "," 3,158.91 ", 20.47 ," 1,656.99 ", 478.93 ," 2,601.16 ", 305.70 ," 56,916.24 ",,
