Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de enero de 2025,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2130 Obligaciones a la vista," 18,748.50 "," 17,322.42 "," 21,567.93 "," 28,871.58 "," 1,410.74 ", 195.96 ," 5,716.80 "," 27,258.88 ", 927.08 ," 5,952.91 "," 2,362.58 "," 1,786.46 "," 1,672.15 "," 133,793.99 ",,
22 Otros pasivos," 125,109.23 "," 83,084.43 "," 47,397.36 "," 10,431.69 "," 6,976.18 "," 30,384.51 "," 21,171.12 "," 41,119.28 "," 2,441.88 "," 18,362.37 "," 6,471.22 "," 4,941.98 "," 11,220.01 "," 409,111.27 ",,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 72,666.63 "," 42,642.37 "," 18,982.04 "," 5,559.20 "," 4,586.43 "," 22,549.82 "," 12,468.14 "," 11,138.76 ", 909.85 ," 16,227.98 "," 4,535.59 "," 3,806.10 "," 7,375.36 "," 223,448.27 ",,
2220 Cuentas por pagar," 43,661.72 "," 28,581.67 "," 18,129.12 "," 5,405.49 "," 2,207.90 "," 19,327.53 "," 9,525.03 "," 10,648.74 ", 874.16 ," 14,334.42 "," 3,728.65 "," 1,941.24 "," 6,986.64 "," 165,352.30 ",,
2221 Impuestos," 29,004.91 "," 14,060.70 ", 852.92 , 153.71 ," 2,378.53 "," 3,222.30 "," 2,943.11 ", 490.02 , 35.69 ," 1,893.56 ", 806.93 ," 1,864.86 ", 388.72 ," 58,095.96 ",,
223 Retenciones y aportaciones patronales," 2,637.27 "," 3,794.63 "," 1,672.87 ", 704.64 , 277.42 , 218.34 ," 1,640.57 "," 1,991.76 ", 311.89 , 355.53 , 406.29 , 125.51 , 859.28 ," 14,996.01 ",,
2230 Retenciones y aportaciones patronales," 2,637.27 "," 3,794.63 "," 1,672.87 ", 704.64 , 277.42 , 218.34 ," 1,640.57 "," 1,991.76 ", 311.89 , 355.53 , 406.29 , 125.51 , 859.28 ," 14,996.01 ",,
224 Otros pasivos," 39,166.02 "," 11,714.87 "," 12,130.76 "," 3,007.00 "," 2,074.39 "," 2,752.74 "," 4,813.11 "," 15,101.84 ", 622.42 , 664.49 , 397.88 , 793.99 ," 2,985.37 "," 96,224.88 ",,
