Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,072.64 "," 25,146.32 "," 17,048.31 "," 1,032.81 ", 59.48 ," 5,454.11 "," 2,010.11 "," 14,172.91 ", 735.07 ," 1,663.90 "," 1,228.72 ", 192.99 , -   ," 79,817.36 ",
2250 Pasivos diferidos," 11,072.64 "," 25,146.32 "," 17,048.31 "," 1,032.81 ", 59.48 ," 5,454.11 "," 2,010.11 "," 14,172.91 ", 735.07 ," 1,663.90 "," 1,228.72 ", 192.99 , -   ," 79,817.36 ",
Total Pasivos," 6,298,240.44 "," 4,088,470.49 "," 3,158,106.51 "," 2,233,395.72 "," 165,184.74 "," 480,016.26 "," 1,364,042.50 "," 3,548,148.32 "," 201,305.94 "," 898,494.71 "," 883,398.66 "," 260,224.73 "," 1,305,259.93 "," 24,884,288.96 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 568,227.17 "," 420,488.98 "," 349,009.02 "," 183,052.78 "," 34,390.17 "," 62,802.11 "," 104,134.02 "," 357,787.34 "," 32,950.24 "," 104,560.76 "," 94,487.64 "," 37,061.60 "," 122,524.00 "," 2,471,475.83 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,406,255.34 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 21,315.92 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 535,883.04 ",
3140 Resultados por aplicar," 111,265.67 "," 125,599.32 "," 26,859.71 "," 16,349.17 "," 6,890.17 "," 16,127.04 "," 9,733.50 "," 156,536.79 "," 5,059.63 "," 30,233.93 "," 8,435.30 "," 10,761.48 "," 5,485.74 "," 529,337.46 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 74,949.76 "," 60,346.94 "," 32,390.32 "," 38,221.70 "," 4,353.71 "," 13,507.57 "," 14,419.20 "," 30,891.13 "," 2,831.64 "," 4,656.11 "," 10,251.85 "," 3,856.45 "," 12,768.68 "," 303,445.06 ",
3210 Utilidades no distribuibles," 73,854.08 "," 46,759.70 "," 28,218.02 "," 33,666.41 "," 4,306.82 "," 2,676.31 "," 15,494.43 "," 32,394.25 "," 2,793.37 "," 4,784.33 "," 10,251.85 "," 4,024.93 "," 12,735.98 "," 271,960.50 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,172.30 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,503.12)", 38.27 , (128.22), -   , (168.48), -   ," 31,451.87 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,172.30 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,764.17)", 38.27 , (119.45), -   , (168.48), -   ," 31,199.58 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 261.06 , -   , (8.77), -   , -   , -   , 252.29 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 643,176.93 "," 480,835.92 "," 381,399.34 "," 221,274.48 "," 38,743.89 "," 76,309.68 "," 118,553.22 "," 388,678.47 "," 35,781.88 "," 109,216.87 "," 104,739.50 "," 40,918.05 "," 135,292.67 "," 2,774,920.89 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,941,417.37 "," 4,569,306.42 "," 3,539,505.86 "," 2,454,670.19 "," 203,928.62 "," 556,325.95 "," 1,482,595.72 "," 3,936,826.79 "," 237,087.82 "," 1,007,711.58 "," 988,138.16 "," 301,142.78 "," 1,440,552.60 "," 27,659,209.85 ",
,,,,,,,,,,,,,,,
