Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
211 depósitos,"4,192,779.61","2,892,126.00","2,091,136.24","1,418,195.48","192,060.30","378,739.13","263,139.11","1,009,057.25","2,370,581.11","87,036.96","326,436.00","373,873.56","541,607.33","16,136,768.09"
2110 depósitos a la vista,"3,283,354.80","1,902,642.72","1,239,906.63","684,027.87","190,769.43","258,634.19","152,696.54","601,394.91","1,700,560.04","11,669.77","147,427.73","142,755.19","252,633.09","10,568,472.92"
211001 depósitos en cuenta corriente,"1,113,572.02","876,782.65","580,739.46","385,645.53","187,870.23","77,798.33","115,354.88","359,702.45","1,112,202.90","11,669.77","53,205.76","96,183.34","174,612.77","5,145,340.10"
211002 depósitos de ahorro,"2,167,796.92","1,025,860.07","658,191.99","298,382.34","2,899.20","180,835.86","37,341.66","241,692.46","588,357.14",0.00,"94,221.96","46,567.34","78,020.32","5,420,167.26"
211003 depósitos en cuenta de ahorro simplificada,"1,985.86",0.00,975.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,0.00,"2,965.56"
2111 depósitos pactados hasta un año plazo,"771,885.96","903,774.67","730,791.61","663,749.13",0.00,"112,898.81","106,154.26","388,515.36","609,716.81","71,637.11","172,025.04","208,285.21","261,665.30","5,001,099.26"
2112 depósitos pactados a mas de un año plazo,"70,645.32","18,705.87","75,455.28","49,294.56",0.00,219.01,0.00,"2,650.62","42,305.94",0.00,"2,211.61","20,398.35","20,785.61","302,672.15"
2114 depósitos restringidos e inactivos,"66,893.54","67,002.74","44,982.72","21,123.92","1,290.87","6,987.12","4,288.32","16,496.35","17,998.32","3,730.08","4,771.62","2,434.81","6,523.34","264,523.76"
212 Préstamos,"373,516.85","215,106.06","231,668.16","106,958.22",0.00,"10,667.53","3,963.23","149,053.97","241,620.86","3,017.75","33,865.24","74,857.10","134,971.25","1,579,266.22"
2121 Préstamos pactados hasta un año plazo,"110,901.51","74,344.69","94,549.01","24,001.95",0.00,16.20,"2,963.11","4,440.51","188,870.99","3,017.75","27,936.82","4,075.86","12,045.41","547,163.82"
2122 Préstamos pactados a mas de un año plazo,"6,770.62",97.19,"6,495.93","69,925.88",0.00,"7,012.47","1,000.12","45,241.60","52,749.87",0.00,"5,928.43","51,908.10","96,416.37","343,546.57"
2123 Préstamos pactados a cinco o mas años plazo,"255,844.73","140,664.18","130,623.21","13,030.39",0.00,"3,638.85",0.00,"99,371.86",0.00,0.00,0.00,"18,873.13","26,509.47","688,555.82"
2130 Obligaciones a la vista,"23,992.33","31,932.66","10,498.16","32,639.03","2,347.43",586.28,972.00,"8,620.82","19,673.23",191.87,"1,515.00","1,769.16","19,410.47","154,148.43"
214 Títulos de emisión propia,"162,080.74","152,831.94","201,742.32",0.00,0.00,0.00,"25,102.74",0.00,"105,746.73",0.00,0.00,"41,787.48","108,372.31","797,664.27"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,524.40","12,524.40"
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","201,742.32",0.00,0.00,0.00,"25,102.74",0.00,"105,746.73",0.00,0.00,"41,787.48","95,847.91","785,139.86"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00",0.00,0.00,0.00,0.00,"7,300.00","5,000.00","15,300.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00",0.00,0.00,0.00,0.00,"7,300.00","5,000.00","15,300.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"102,621.48","79,072.92","55,348.77","13,931.74","3,234.40","29,654.50","3,162.70","21,545.75","33,357.76","2,821.04","31,990.87","3,232.29","5,229.76","385,203.98"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"44,910.22","58,005.80","32,588.72","7,394.48","1,231.31","20,965.41","2,534.72","13,509.06","15,702.47","1,584.28","31,134.06","2,312.30","1,467.94","233,340.78"
2230 Retenciones,"9,992.15","2,143.41","2,060.81",510.42,149.94,231.40,102.42,"1,484.37","1,253.98",250.88,132.44,271.77,488.40,"19,072.38"
2240 Provisiones,"28,039.01","11,463.07","6,158.40","4,788.91","1,771.82","3,227.25",466.02,"3,532.73","9,130.73",962.75,313.64,264.25,"3,214.94","73,333.51"
224003 Otras provisiones,"8,243.07",259.79,0.00,648.85,84.07,6.55,0.00,"1,089.87","3,692.84",269.03,49.50,0.00,"1,839.53","16,183.09"
2250 Créditos diferidos,"19,680.10","7,460.65","14,540.84","1,237.93",81.33,"5,230.43",59.54,"3,019.58","7,270.58",23.12,410.73,383.97,58.48,"59,457.30"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,235.05",0.00,0.00,0.00,0.00,0.00,"30,235.05"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,235.05",0.00,0.00,0.00,0.00,0.00,"30,235.05"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,235.05",0.00,0.00,0.00,0.00,0.00,"30,235.05"
Total pasivos,"4,854,991.01","3,371,069.57","2,590,393.66","1,571,724.46","197,642.13","419,647.43","299,339.78","1,218,512.84","2,770,979.69","93,067.62","393,807.12","502,819.59","814,591.13","19,098,586.03"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"484,187.89","350,821.18","292,716.58","126,972.11","35,118.63","39,401.70","57,781.65","106,069.67","279,061.33","24,021.90","61,194.18","54,061.51","79,296.30","1,990,704.63"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","50,000.00","80,000.00","75,000.00","1,289,563.98"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","31,035.72","3,848.05","3,306.94","3,891.27","16,075.33","40,250.11","3,260.83","1,795.08",342.14,"1,582.84","480,768.08"
3140 Resultados por aplicar,"29,752.77","55,931.53","14,459.75","22,502.09","1,270.58","10,888.84","2,291.43","19,205.47","77,810.78",427.40,"9,399.10","-26,280.63","2,713.45","220,372.57"
314001 Resultados de ejercicios anteriores,"-3,389.28","41,277.09","2,701.21","17,461.81","1,291.43","9,257.61","2,028.75","17,514.44","67,623.42",0.22,"8,068.61","-26,663.20","1,906.40","139,078.51"
314002 Resultados del presente ejercicio,"33,142.06","14,654.43","11,758.55","5,040.28",-20.84,"1,631.22",262.68,"1,691.03","10,187.36",427.18,"1,330.49",382.57,807.05,"81,294.06"
32 Patrimonio restringido,"90,499.68","60,815.67","25,420.10","32,145.43","3,776.70","14,100.79","3,014.33","22,067.22","28,089.49","4,015.78","3,378.65","3,113.61","11,972.00","302,409.43"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"1,707.23","15,540.82","21,591.33","4,014.96","3,287.14","2,805.64","6,237.06","164,957.09"
3220 Revaluaciones,"9,850.58","13,997.27","4,370.08","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"44,055.77"
3230 Recuperaciones de activos castigados,0.00,174.33,788.85,"3,349.70",0.00,0.00,37.00,669.64,"1,012.53",0.00,0.00,0.00,40.52,"6,072.58"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"49,198.69","2,790.44","7,180.03","5,908.43",313.95,"3,269.53","1,270.10","5,856.76","5,485.63",0.82,91.51,307.97,"5,617.44","87,291.30"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"574,687.57","411,636.85","318,136.68","159,117.54","38,895.33","53,502.48","60,795.98","128,136.89","307,150.82","28,037.69","64,572.83","57,175.12","91,268.29","2,293,114.07"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,429,678.58","3,782,706.42","2,908,530.33","1,730,842.00","236,537.45","473,149.92","360,135.76","1,346,649.73","3,078,130.51","121,105.31","458,379.95","559,994.70","905,859.42","21,391,700.10"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"38,464.96","13,556.77","23,258.74",676.53,0.00,0.00,"6,427.48",91.71,"49,193.73",0.00,"1,156.38",83.85,0.00,"132,910.15"
5120 Contingencias por avales y fianzas,"119,212.93","108,856.29","93,769.98","15,599.33","8,504.12","6,356.60","3,071.27","10,722.24","113,104.89",0.00,"18,279.58",0.00,"6,294.98","503,772.22"
5131 Compromisos por operaciones en moneda extranjera,"13,753.88",0.00,0.00,0.00,67.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,820.89"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"171,431.78","122,413.06","117,028.73","16,275.86","8,571.13","6,356.60","9,498.74","10,813.95","162,298.62",0.00,"19,435.96",83.85,"6,294.98","650,503.27"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,601,110.36","3,905,119.48","3,025,559.06","1,747,117.86","245,108.59","479,506.52","369,634.50","1,357,463.68","3,240,429.13","121,105.31","477,815.92","560,078.56","912,154.40","22,042,203.37"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
