Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,1.76
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,1.76
22 Otros pasivos,"153,336.07","38,116.52","44,419.85","10,353.92","2,874.15","28,220.63","9,901.94","19,966.39","35,357.44","31,622.66","3,866.73","18,383.92","1,717.30","3,307.11","401,444.63"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"117,937.65","27,162.06","23,191.03","5,016.74",653.63,"19,132.53","9,139.51","10,282.89","21,261.97","17,548.82","1,720.17","16,633.04",897.51,"1,314.86","271,892.39"
2230 Retenciones,"1,659.92","1,368.36","1,171.96",311.08,113.89,166.87,116.83,990.61,755.19,"1,056.91",298.35,134.54,250.23,297.64,"8,692.38"
2240 Provisiones,"22,745.04","6,408.11","5,768.49","3,925.99","1,814.01","4,142.00",528.87,"3,325.82","11,150.52","7,082.17","1,560.54",368.57,431.41,"1,614.82","70,866.37"
224003 Otras provisiones,"7,493.61",12.53,0.00,483.41,122.00,14.80,0.00,"1,221.74","4,301.18","1,296.99",369.10,44.50,0.00,563.24,"15,923.12"
2250 Créditos diferidos,"10,993.46","3,177.98","14,288.38","1,100.11",292.63,"4,779.23",116.74,"5,367.07","2,189.76","5,934.76",287.66,"1,247.78",138.14,79.78,"49,993.49"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00",0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00",0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00",0.00,0.00,0.00,0.00,0.00,0.00,"30,245.00"
Total pasivos,"4,722,669.82","1,527,543.66","2,643,672.04","1,051,848.50","256,136.33","365,907.72","364,755.17","1,183,014.59","1,747,886.14","2,481,686.44","55,730.16","367,469.14","438,409.40","599,393.55","17,806,122.66"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"475,314.90","165,180.87","262,000.96","105,901.41","39,112.91","33,336.73","57,760.38","102,272.76","204,590.54","259,034.20","24,483.34","34,651.49","53,257.97","63,849.78","1,880,748.24"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,210,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"36,541.86","32,667.57","9,379.67","3,149.75","5,734.93","11,869.21","1,154.45","19,182.01","55,214.18","59,581.59","1,266.32","3,726.59","-26,749.50","-1,998.41","210,720.24"
314001 Resultados de ejercicios anteriores,"1,121.67","25,476.53",845.15,25.00,"4,816.18","10,741.50",573.21,"17,164.81","50,149.57","48,158.41",606.84,"2,985.48","-26,663.20","-2,435.14","133,566.01"
