Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
3140 Resultados por aplicar,"24,232.14","56,541.35","7,217.51","3,489.19","8,148.85","13,231.72",545.46,"4,822.91","51,629.28",282.11,"4,196.67","-26,144.07","-3,558.51","144,634.60"
314001 Resultados de ejercicios anteriores,"-1,784.73","49,454.73","1,928.20",25.00,"7,017.59","12,410.31",73.02,"3,169.56","43,380.13",0.00,"2,881.06","-26,663.20","-4,349.34","87,542.31"
314002 Resultados del presente ejercicio,"26,016.87","7,086.62","5,289.31","3,464.19","1,131.26",821.41,472.45,"1,653.35","8,249.15",282.11,"1,315.60",519.14,790.84,"57,092.29"
32 Patrimonio restringido,"111,241.93","71,816.21","44,284.10","35,391.51","4,502.37","14,168.98","3,131.99","32,912.80","35,330.08","2,221.67","4,421.60","1,045.89","15,044.08","375,513.20"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","21,881.24","4,463.49",0.00,"2,410.80","26,034.39","27,863.74","2,211.09","4,350.27",906.64,"6,036.64","223,418.44"
3220 Revaluaciones,"9,850.58","14,158.79","4,346.55","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,"2,230.16","45,690.29"
3230 Recuperaciones de activos castigados,0.00,179.53,"1,143.52","2,446.22",0.00,0.00,39.97,326.22,"1,264.27",0.00,0.00,0.00,41.02,"5,440.74"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"51,777.14","4,719.70","13,906.30","6,101.75",38.88,"4,027.06",681.22,"6,552.19","6,202.06",10.58,71.33,139.25,"6,703.57","100,931.03"
Total patrimonio,"611,124.79","423,247.21","311,122.90","141,106.35","46,375.52","49,194.63","59,028.54","123,833.67","288,209.90","25,870.36","39,846.02","55,019.12","77,432.39","2,251,411.43"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,328,688.33","3,590,843.34","2,915,101.21","1,393,415.69","275,663.81","416,773.55","443,483.53","1,329,688.26","2,917,849.62","82,919.96","419,079.20","548,324.29","771,602.80","20,433,433.59"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"22,935.38","22,927.17","13,839.65","10,316.69",818.47,0.00,"8,920.66",79.73,"30,497.14",0.00,893.70,17.92,0.00,"111,246.51"
5120 Contingencias por avales y fianzas,"148,255.19","157,323.20","77,303.39","15,690.52","7,378.08","6,372.55","4,522.69","9,700.46","66,974.78",0.00,"14,177.10",0.00,"6,799.63","514,497.58"
5131 Compromisos por operaciones en moneda extranjera,"9,578.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,578.66"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"180,769.23","180,250.37","91,143.04","26,007.21","8,196.55","6,372.55","13,443.35","9,780.19","97,471.92",0.00,"15,070.80",17.92,"6,799.63","635,322.76"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,509,457.56","3,771,093.71","3,006,244.25","1,419,422.89","283,860.35","423,146.10","456,926.88","1,339,468.45","3,015,321.54","82,919.96","434,150.00","548,342.22","778,402.43","21,068,756.35"
 ,,,,,,,,,,,,,,
"1/ A partir de noviembre 2020, Banco Cuscatlán de El Salvador, S.A.,  absorbió a Banco Cuscatlán Sv, S.A.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
