Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2111 depósitos pactados hasta un año plazo,"950,339.74","302,410.20","672,027.03","385,530.92",0.00,"160,878.80","163,419.65","446,905.30","766,212.96","682,263.11","29,052.49","157,721.76","189,561.39","219,698.91","5,126,022.26"
2112 depósitos pactados a mas de un año plazo,"79,650.88","1,353.77","150,174.68","31,526.98",0.00,256.13,0.00,"2,180.39","3,381.45","39,489.98",0.00,170.60,"17,462.10","22,129.59","347,776.55"
2114 depósitos restringidos e inactivos,"59,806.06","21,775.34","40,832.02","13,888.83","1,633.19","4,665.43","6,797.62","17,841.91","47,151.18","15,276.83","3,610.02","5,979.94","3,539.88","3,749.63","246,547.89"
212 Préstamos,"363,536.75","176,259.91","400,245.03","126,303.58","50,026.77","16,632.00","21,664.20","166,441.20","176,324.93","145,304.76",0.00,"59,256.35","58,310.59","85,793.84","1,846,099.92"
2121 Préstamos pactados hasta un año plazo,"35,393.55","34,074.75","220,322.01","21,037.19","50,026.77",47.62,"10,523.56","38,570.94","1,206.98","127,992.79",0.00,"9,659.16","8,591.08",0.00,"557,446.40"
2122 Préstamos pactados a mas de un año plazo,"328,143.20",109.25,"12,515.63","89,713.35",0.00,"16,548.41","11,140.64","56,112.87","150,810.25","17,311.97",0.00,"49,597.19","49,719.52","60,167.06","841,889.34"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"142,075.91","167,407.39","15,553.04",0.00,35.98,0.00,"71,757.39","24,307.69",0.00,0.00,0.00,0.00,"25,626.78","446,764.19"
2130 Obligaciones a la vista,"18,226.15","13,618.06","12,835.49","27,902.15","4,977.85",558.08,874.82,"5,878.47","6,743.10","33,081.54",54.66,"1,314.57","2,063.22",855.49,"128,983.65"
214 Títulos de emisión propia,"212,120.14","60,114.34","200,434.94",0.00,0.00,0.00,"34,291.80",0.00,"130,690.08","221,196.43",0.00,0.00,"37,554.50","72,663.71","969,065.93"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,434.14","1,434.14"
2142 Pactados a mas de un año plazo,"212,120.14","60,114.34","200,434.94",0.00,0.00,0.00,"34,291.80",0.00,"130,690.08","221,196.43",0.00,0.00,"37,554.50","71,229.57","967,631.79"
215 Documentos transados,0.00,"3,000.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,000.00",0.00,"13,000.37"
2151 Documentos transados hasta un año plazo,0.00,"3,000.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,000.00",0.00,"13,000.37"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.14,0.00,0.00,0.00,22.14
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.14,0.00,0.00,0.00,22.14
22 Otros pasivos,"95,197.40","39,991.05","44,108.51","12,890.64","3,684.48","29,350.85","19,971.40","25,391.25","19,500.59","33,290.92","3,457.69","13,081.60","1,913.62","3,157.86","344,987.86"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"54,532.03","28,480.08","25,850.54","8,386.12","1,575.05","19,943.96","19,329.58","16,216.43","7,466.29","20,803.57","1,891.45","12,053.50","1,048.68","1,443.74","219,021.04"
2230 Retenciones,"1,717.89","2,488.06","1,128.45",498.93,295.65,170.40,170.64,"1,079.77",868.06,934.93,338.47,187.50,237.19,382.10,"10,498.05"
2240 Provisiones,"28,953.32","5,720.57","4,488.91","3,364.82","1,622.59","3,563.00",348.64,"2,457.30","8,709.48","5,071.78","1,227.77",166.46,449.90,"1,254.54","67,399.06"
224003 Otras provisiones,"7,607.51",3.08,0.00,549.99,183.38,3.23,0.00,"1,269.63","3,936.34","1,110.82",175.76,30.28,0.00,438.43,"15,308.46"
2250 Créditos diferidos,"9,994.17","3,302.34","12,640.61",640.77,191.19,"5,673.49",122.54,"5,637.75","2,456.76","6,480.64",0.00,674.14,177.84,77.49,"48,069.71"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42",0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42",0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42",0.00,0.00,0.00,0.00,0.00,0.00,"30,530.42"
Total pasivos,"4,253,609.10","1,480,053.03","2,538,496.02","986,402.98","199,175.05","372,238.49","403,699.97","1,172,066.92","1,879,272.39","2,426,474.21","52,045.92","328,254.60","419,564.21","583,833.94","17,095,186.83"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"541,588.26","159,389.85","269,333.26","103,700.26","38,511.96","32,273.33","62,292.06","100,510.85","224,073.45","263,084.02","24,981.03","34,025.93","53,075.03","53,515.24","1,960,354.54"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","114,131.20","161,000.44","20,333.67","30,000.00","80,000.00","55,000.00","1,213,004.90"
3130 Reservas de capital,"128,308.13","41,942.66","90,621.29","50,020.76","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"427,356.76"
3140 Resultados por aplicar,"115,780.13","26,876.55","28,711.97","8,650.04","5,133.98","10,805.81","5,686.13","17,420.10","61,697.09","63,631.41","1,764.01","3,101.03","-26,932.43","-2,332.95","319,992.88"
314001 Resultados de ejercicios anteriores,"107,558.08","25,611.05","27,149.59","7,815.30","4,816.18","10,741.50","5,573.21","17,164.22","60,360.22","63,192.78","1,659.40","2,951.45","-26,714.09","-2,435.14","305,443.76"
314002 Resultados del presente ejercicio,"8,222.05","1,265.50","1,562.38",834.74,317.80,64.30,112.92,255.88,"1,336.88",438.63,104.61,149.58,-218.34,102.19,"14,549.12"
32 Patrimonio restringido,"84,675.69","27,568.51","39,728.32","23,594.77","4,399.19","13,534.78","2,771.69","13,506.88","31,630.70","25,111.57",743.72,"2,492.49",50.88,"9,302.14","279,111.33"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",50.88,"4,666.40","140,766.89"
3220 Revaluaciones,"10,918.52","8,817.28","4,342.47","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"44,524.16"
3230 Recuperaciones de activos castigados,0.00,12.59,"1,208.22",542.24,0.00,0.00,51.13,245.19,197.60,"1,012.13",0.00,0.00,0.00,29.52,"3,298.62"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,085.91",368.71,"15,086.23","4,366.61",31.38,"3,392.87","1,408.77","4,528.19","6,000.94","5,508.62",1.50,135.73,0.00,"4,573.52","90,488.97"
Total patrimonio,"626,263.95","186,958.36","309,061.58","127,295.02","42,911.15","45,808.11","65,063.74","114,017.73","255,704.15","288,195.60","25,724.75","36,518.42","53,125.91","62,817.38","2,239,465.87"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"4,879,873.05","1,667,011.40","2,847,557.61","1,113,698.00","242,086.20","418,046.59","468,763.72","1,286,084.65","2,134,976.54","2,714,669.81","77,770.67","364,773.02","472,690.12","646,651.33","19,334,652.70"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"15,252.09","12,023.92","17,252.92","1,079.13",0.00,0.00,"7,913.53",16.98,812.70,"41,291.83",0.00,482.63,0.00,0.00,"96,125.73"
5120 Contingencias por avales y fianzas,"141,491.12","41,202.54","86,108.00","13,665.81","8,642.22","6,383.48","4,019.49","9,522.37","132,875.27","69,964.82",0.00,"17,899.23",0.00,"2,639.84","534,414.19"
5131 Compromisos por operaciones en moneda extranjera,552.95,96.55,0.00,0.00,"3,502.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,152.24"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"157,296.16","53,323.01","103,360.91","14,744.94","12,144.96","6,383.48","11,933.02","9,539.36","133,687.97","111,256.65",0.00,"18,381.86",0.00,"2,639.84","634,692.16"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,037,169.21","1,720,334.40","2,950,918.52","1,128,442.94","254,231.16","424,430.07","480,696.74","1,295,624.01","2,268,664.50","2,825,926.46","77,770.67","383,154.88","472,690.12","649,291.16","19,969,344.86"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 21 de agosto de 2019, Banco Azteca El Salvador, S. A. cambio su razón social a Banco Abank, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
