Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
Total Patrimonio," 668,988.73 "," 493,780.85 "," 387,411.81 "," 226,322.20 "," 39,964.34 "," 77,652.66 "," 120,691.97 "," 396,258.94 "," 37,265.79 "," 110,793.07 "," 106,884.25 "," 41,825.82 "," 145,878.68 "," 2,853,719.11 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 7,044,143.48 "," 4,735,091.93 "," 3,678,115.48 "," 2,417,640.92 "," 212,671.47 "," 565,193.28 "," 1,564,007.89 "," 4,013,783.76 "," 254,680.17 "," 1,046,207.53 "," 997,849.78 "," 314,686.85 "," 1,509,067.34 "," 28,353,139.88 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 28,376.24 "," 9,028.06 "," 14,452.84 ", 515.94 , -   , -   , -   ," 100,275.15 ", -   ," 1,135.81 "," 4,081.49 ", -   , -   ," 157,865.52 ",
5120 Contingencias por avales y fianzas," 71,708.48 "," 78,571.25 "," 102,303.33 "," 12,580.67 "," 3,516.57 "," 5,732.38 "," 7,849.42 "," 54,995.99 ", -   ," 14,834.76 "," 3,936.38 ", -   ," 9,303.35 "," 365,332.58 ",
5130 Operaciones con instrumentos financieros derivados," 4,317.18 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,317.18 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 104,401.90 "," 87,599.31 "," 116,756.17 "," 13,096.60 "," 3,516.57 "," 5,732.38 "," 7,849.42 "," 155,271.14 ", -   ," 15,970.57 "," 8,017.86 ", -   ," 9,303.35 "," 527,515.28 ",
,,,,,,,,,,,,,,,
