Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
2240 Provisiones,"34,823.6","11,270.8","5,280.7","3,581.5","2,021.8","2,865.5","3,636.9","11,742.1",881.3,425.3,189.7,"2,543.7","79,262.9",,
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
225 Pasivos diferidos,"8,503.0","31,038.4","14,998.3",881.5,60.8,"5,494.0","2,711.7","9,831.6",513.3,949.9,"1,036.3",33.2,"76,052.2",,
2250 Pasivos diferidos,"8,503.0","31,038.4","14,998.3",881.5,60.8,"5,494.0","2,711.7","9,831.6",513.3,949.9,"1,036.3",33.2,"76,052.2",,
Total Pasivos,"5,132,980.3","3,591,240.3","2,794,116.5","2,067,240.6","194,436.6","409,783.8","1,246,734.2","3,001,552.5","147,643.3","591,929.9","774,421.6","1,111,033.8","21,063,113.4",,
,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,
31 Patrimonio,"603,508.8","393,138.8","334,749.1","153,206.2","31,843.8","50,663.8","109,223.3","320,905.0","30,870.1","72,017.1","92,599.5","107,178.6","2,299,904.1",,
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
