Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
Total Patrimonio," 646,041.14 "," 465,834.37 "," 370,331.26 "," 211,373.24 "," 43,245.01 "," 70,175.41 "," 119,176.20 "," 359,957.77 "," 35,971.49 "," 102,245.09 "," 102,864.10 "," 39,234.74 "," 129,650.88 "," 2,696,100.69 ",,
,,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 5,925,161.82 "," 4,207,071.40 "," 3,366,798.49 "," 2,243,504.27 "," 225,616.41 "," 491,769.00 "," 1,433,951.02 "," 3,657,638.30 "," 190,725.89 "," 755,542.64 "," 907,861.50 "," 260,463.64 "," 1,332,154.03 "," 24,998,258.40 ",,
,,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 17,480.53 "," 9,398.75 "," 6,189.60 ", -   , -   , -   , 33.44 ," 61,446.32 ", -   ," 1,183.08 "," 5,090.46 ", -   , -   ," 100,822.18 ",,
5120 Contingencias por avales y fianzas," 80,838.58 "," 63,687.98 "," 138,885.63 "," 17,107.22 "," 2,993.77 "," 5,732.38 "," 7,199.97 "," 54,390.83 ", -   ," 16,083.03 "," 1,698.99 ", -   ," 8,771.50 "," 397,389.87 ",,
5130 Operaciones con instrumentos financieros derivados," 310,468.41 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 310,468.41 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   , 2.55 , -   , -   , -   , -   , -   , -   , -   , -   , 2.55 ,,
,,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 408,787.53 "," 73,086.74 "," 145,075.22 "," 17,107.22 "," 2,996.33 "," 5,732.38 "," 7,233.41 "," 115,837.15 ", -   ," 17,266.11 "," 6,789.45 ", -   ," 8,771.50 "," 808,683.02 ",,
,,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,333,949.34 "," 4,280,158.13 "," 3,511,873.72 "," 2,260,611.49 "," 228,612.74 "," 497,501.37 "," 1,441,184.42 "," 3,773,475.45 "," 190,725.89 "," 772,808.75 "," 914,650.95 "," 260,463.64 "," 1,340,925.53 "," 25,806,941.41 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
