Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de septiembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
223 Retenciones y aportaciones patronales," 3,103.22 "," 4,005.29 "," 2,673.34 ", 583.24 , 383.14 , 203.12 ," 1,615.15 "," 2,208.19 ", 255.26 , 348.79 , 610.88 , 114.47 , 939.83 ," 17,043.93 ",,
2230 Retenciones y aportaciones patronales," 3,103.22 "," 4,005.29 "," 2,673.34 ", 583.24 , 383.14 , 203.12 ," 1,615.15 "," 2,208.19 ", 255.26 , 348.79 , 610.88 , 114.47 , 939.83 ," 17,043.93 ",,
224 Otros pasivos," 37,072.20 "," 12,850.40 "," 9,605.57 "," 3,479.24 "," 2,306.83 "," 2,975.39 "," 4,757.37 "," 17,954.66 ", 495.07 , 647.13 , 588.20 , 983.67 ," 3,675.38 "," 97,391.12 ",,
2240 Provisiones," 37,072.20 "," 12,850.40 "," 9,605.57 "," 3,479.24 "," 2,306.83 "," 2,975.39 "," 4,757.37 "," 17,954.66 ", 495.07 , 647.13 , 588.20 , 983.67 ," 3,675.38 "," 97,391.12 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 9,521.50 "," 28,876.66 "," 13,706.84 "," 1,326.69 ", 27.91 ," 5,441.47 "," 2,297.80 "," 11,726.24 ", 563.24 ," 1,061.40 "," 1,111.26 ", 212.16 , 28.10 ," 75,901.25 ",,
2250 Pasivos diferidos," 9,521.50 "," 28,876.66 "," 13,706.84 "," 1,326.69 ", 27.91 ," 5,441.47 "," 2,297.80 "," 11,726.24 ", 563.24 ," 1,061.40 "," 1,111.26 ", 212.16 , 28.10 ," 75,901.25 ",,
Total Pasivos," 5,263,242.52 "," 3,656,613.29 "," 2,922,745.77 "," 2,047,904.64 "," 182,717.29 "," 416,921.82 "," 1,275,583.26 "," 3,215,647.52 "," 153,541.15 "," 631,838.68 "," 781,609.33 "," 221,903.44 "," 1,166,694.20 "," 21,936,962.91 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Patrimonio, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
31 Patrimonio," 570,116.15 "," 399,762.26 "," 337,613.55 "," 167,849.80 "," 34,579.68 "," 55,257.97 "," 101,507.58 "," 333,959.19 "," 30,604.32 "," 96,763.41 "," 91,842.45 "," 34,924.30 "," 119,412.26 "," 2,374,192.91 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 28,159.39 "," 4,719.52 "," 5,084.29 "," 17,697.22 "," 40,250.11 "," 3,942.14 "," 3,414.23 "," 5,115.45 "," 3,750.00 "," 2,932.56 "," 534,298.63 ",,
3140 Resultados por aplicar," 105,719.56 "," 104,872.60 "," 25,464.24 "," 18,287.19 "," 7,860.15 "," 21,862.00 "," 8,021.50 "," 132,708.64 "," 3,018.48 "," 23,349.18 "," 6,727.00 "," 9,174.30 "," 2,776.19 "," 469,841.04 ",,
