Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
241 deuda subordinada a plazo fijo,"70,327.39",0.00,0.00,0.00,0.00,0.00,"30,262.28",0.00,0.00,0.00,0.00,0.00,"100,589.67"
2413 deuda subordinada a cinco o mas años,"70,327.39",0.00,0.00,0.00,0.00,0.00,"30,262.28",0.00,0.00,0.00,0.00,0.00,"100,589.67"
Total pasivos,"5,113,651.56","3,554,148.73","2,734,990.76","2,037,494.12","149,531.28","402,542.86","1,251,898.05","2,895,652.82","135,011.96","566,595.94","738,263.94","1,081,962.77","20,661,744.78"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"565,474.22","378,167.65","327,463.56","154,671.81","35,134.43","48,122.39","107,918.97","312,352.53","25,632.69","69,965.08","113,579.36","100,914.03","2,239,396.72"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","121,403.22","22,000.00","28,311.68","70,788.87","161,000.44","20,643.67","50,000.00","102,270.00","90,000.00","1,318,619.72"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","18,483.79","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","475,070.80"
3140 Resultados por aplicar,"105,460.37","83,277.99","51,309.91","14,784.79","8,982.42","15,696.74","20,196.65","111,101.98","1,284.22","17,411.34","7,207.53","8,992.25","445,706.20"
314001 Resultados de ejercicios anteriores,"11,122.76","44,705.65","24,519.21",22.37,"5,680.09","10,494.53","14,776.06","79,395.35",0.46,"12,717.82",0.00,"4,625.99","208,060.30"
314002 Resultados del presente ejercicio,"94,337.60","38,572.34","26,790.70","14,762.42","3,302.33","5,202.21","5,420.60","31,706.63","1,283.76","4,693.52","7,207.53","4,366.26","237,645.90"
32 Patrimonio restringido,"60,428.21","60,924.03","26,423.59","31,286.67","1,358.42","14,843.45","16,579.34","24,781.03","6,723.51","3,711.18","8,423.94","10,928.47","266,411.85"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,375.33","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,688.54"
3230 Recuperaciones de activos castigados,0.00,217.64,713.46,"4,652.99",0.00,0.00,259.26,555.71,0.00,0.00,37.00,57.06,"6,493.12"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"23,334.93","4,091.41","6,253.30","4,726.53",0.00,"4,012.18","2,641.30","2,305.79",0.58,139.17,"2,384.00","4,701.27","54,590.47"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"625,902.43","439,091.68","353,887.16","185,958.48","36,492.85","62,965.83","124,498.32","337,133.56","32,356.20","73,676.26","122,003.30","111,842.51","2,505,808.57"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,739,553.99","3,993,240.41","3,088,877.91","2,223,452.60","186,024.13","465,508.69","1,376,396.36","3,232,786.38","167,368.16","640,272.19","860,267.24","1,193,805.27","23,167,553.34"
 ,,,,,,,,,,,,,
