Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2111 Depósitos pactados hasta un año plazo," 1,199,676.22 "," 1,159,475.14 "," 1,150,072.01 "," 696,989.80 ", -   ," 120,661.11 "," 473,247.23 "," 946,363.29 "," 130,844.82 "," 437,322.48 "," 427,972.91 "," 122,383.30 "," 454,062.07 "," 7,319,070.38 ",
2112 Depósitos pactados a más de un año plazo," 149,276.13 "," 46,627.36 "," 49,281.55 "," 202,868.96 ", -   , 48.64 ," 46,296.36 "," 115,647.36 "," 28,540.24 "," 14,991.54 "," 11,680.03 "," 2,653.63 "," 158,225.66 "," 826,137.46 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,648.81 "," 21,648.81 ",
2114 Depósitos restringidos e inactivos," 82,095.90 "," 76,055.38 "," 62,845.30 "," 58,659.27 ", 654.51 ," 11,593.94 "," 26,095.03 "," 20,858.44 "," 2,623.79 "," 9,217.03 "," 8,748.82 "," 4,158.51 "," 11,095.30 "," 374,701.22 ",
2115 Operaciones con pacto de retrocompra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,005.00 "," 21,005.00 ",
2116 Préstamos pactados hasta un año plazo, -   ," 1,259.14 "," 43,268.54 "," 20,874.84 "," 35,061.31 ", 16.16 ," 8,316.31 "," 37,057.17 "," 2,301.14 "," 36,762.06 "," 12,300.20 "," 2,470.27 "," 12,190.05 "," 211,877.19 ",
2117 Préstamos pactados a más de un año plazo," 306,109.24 "," 64,083.12 "," 57,792.15 "," 29,643.93 ", -   ," 4,234.12 "," 66,103.57 "," 255,086.72 ", -   ," 55,949.01 "," 63,653.19 "," 28,449.02 "," 51,138.76 "," 982,242.83 ",
2118 Préstamos pactados a cinco o mas años plazo," 9,990.44 "," 110,013.85 "," 44,950.63 "," 1,435.54 "," 1,063.57 "," 20,325.46 "," 47,664.72 ", -   ," 5,904.42 ", -   ," 87,163.39 "," 12,148.96 "," 36,202.07 "," 376,863.05 ",
2119 Préstamos subordinados," 70,353.23 ", -   , -   , -   , -   , -   ," 43,536.05 ", -   , -   , -   , -   , -   , -   ," 113,889.28 ",
212 Títulos de emisión propia," 42,064.11 "," 126,354.62 "," 133,291.38 "," 398,951.02 ", -   , -   ," 34,451.44 "," 111,920.89 "," 7,274.19 "," 39,196.95 "," 12,362.30 "," 8,091.00 "," 98,548.89 "," 1,012,506.80 ",
2120 Títulos de emisión propia," 42,064.11 "," 126,354.62 "," 133,291.38 "," 398,951.02 ", -   , -   ," 34,451.44 "," 111,920.89 "," 7,274.19 "," 39,196.95 "," 12,362.30 "," 8,091.00 "," 98,548.89 "," 1,012,506.80 ",
213 Obligaciones a la vista," 16,538.91 "," 16,589.47 "," 11,999.05 "," 31,908.35 "," 1,014.62 ", 58.78 ," 5,517.39 "," 16,208.51 ", 188.85 ," 3,739.45 "," 8,047.91 "," 1,204.02 "," 1,758.27 "," 114,773.58 ",
2130 Obligaciones a la vista," 16,538.91 "," 16,589.47 "," 11,999.05 "," 31,908.35 "," 1,014.62 ", 58.78 ," 5,517.39 "," 16,208.51 ", 188.85 ," 3,739.45 "," 8,047.91 "," 1,204.02 "," 1,758.27 "," 114,773.58 ",
22 Otros pasivos," 137,274.76 "," 84,348.87 "," 52,795.04 "," 9,845.21 "," 5,863.57 "," 32,437.95 "," 22,654.71 "," 47,070.29 "," 3,417.71 "," 11,387.69 "," 7,380.56 "," 7,191.35 "," 13,942.75 "," 435,610.46 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 79,137.99 "," 40,948.35 "," 21,509.77 "," 5,269.43 "," 3,032.89 "," 23,818.57 "," 13,419.30 "," 13,848.66 "," 1,565.37 "," 8,256.65 "," 4,722.80 "," 5,546.48 "," 8,097.00 "," 229,173.26 ",
2220 Cuentas por pagar," 51,537.59 "," 27,108.14 "," 16,179.13 "," 4,640.19 "," 1,956.54 "," 20,860.20 "," 9,053.45 "," 11,944.56 "," 1,069.37 "," 6,642.60 "," 3,453.70 "," 2,320.38 "," 8,004.86 "," 164,770.72 ",
2221 Impuestos," 27,600.39 "," 13,840.22 "," 5,330.64 ", 629.23 ," 1,076.35 "," 2,958.38 "," 4,365.85 "," 1,904.10 ", 496.00 ," 1,614.04 "," 1,269.10 "," 3,226.10 ", 92.14 ," 64,402.54 ",
223 Retenciones y aportaciones patronales," 3,337.61 "," 3,988.68 "," 1,951.68 ", 627.91 , 182.45 , 229.62 ," 1,754.46 "," 2,073.66 ", 158.44 , 441.57 , 439.76 , 133.97 , 755.01 ," 16,074.80 ",
2230 Retenciones y aportaciones patronales," 3,337.61 "," 3,988.68 "," 1,951.68 ", 627.91 , 182.45 , 229.62 ," 1,754.46 "," 2,073.66 ", 158.44 , 441.57 , 439.76 , 133.97 , 755.01 ," 16,074.80 ",
224 Otros pasivos," 43,688.84 "," 14,319.48 "," 13,134.77 "," 2,920.98 "," 2,595.71 "," 2,810.91 "," 5,593.66 "," 18,248.62 ", 948.66 ," 1,012.75 ", 933.81 ," 1,318.38 "," 5,090.74 "," 112,617.30 ",
2240 Provisiones," 43,688.84 "," 14,319.48 "," 13,134.77 "," 2,920.98 "," 2,595.71 "," 2,810.91 "," 5,593.66 "," 18,248.62 ", 948.66 ," 1,012.75 ", 933.81 ," 1,318.38 "," 5,090.74 "," 112,617.30 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,110.33 "," 25,092.36 "," 16,198.81 "," 1,026.90 ", 52.52 ," 5,578.83 "," 1,887.29 "," 12,899.35 ", 745.24 ," 1,676.73 "," 1,284.19 ", 192.53 , -   ," 77,745.09 ",
2250 Pasivos diferidos," 11,110.33 "," 25,092.36 "," 16,198.81 "," 1,026.90 ", 52.52 ," 5,578.83 "," 1,887.29 "," 12,899.35 ", 745.24 ," 1,676.73 "," 1,284.19 ", 192.53 , -   ," 77,745.09 ",
Total Pasivos," 6,308,891.31 "," 4,151,386.37 "," 3,211,850.56 "," 2,205,176.38 "," 176,826.51 "," 480,478.53 "," 1,406,396.49 "," 3,639,637.95 "," 206,746.70 "," 898,796.07 "," 904,034.47 "," 266,155.93 "," 1,373,240.38 "," 25,229,617.65 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 582,813.47 "," 426,670.42 "," 354,941.27 "," 184,222.40 "," 34,977.58 "," 63,640.18 "," 105,023.77 "," 361,466.62 "," 34,254.05 "," 105,572.14 "," 95,564.91 "," 37,725.24 "," 133,188.27 "," 2,520,060.33 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 123,703.50 "," 1,416,255.34 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 123,703.50 "," 1,416,255.34 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
