Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 29 de Febrero de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29",0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29",0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29",0.00,0.00,0.00,0.00,0.00,0.00,"30,263.29"
Total pasivos,"4,403,668.06","1,479,063.82","2,552,541.32","1,010,317.04","180,255.26","373,170.94","387,608.81","1,165,919.30","1,873,738.03","2,469,566.58","53,535.25","328,722.15","422,972.57","585,861.72","17,286,940.85"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"455,276.68","160,119.79","257,623.91","104,553.06","38,568.13","32,403.23","57,359.87","100,849.31","202,808.65","266,233.86","23,948.73","34,165.83","52,899.44","53,621.92","1,840,432.40"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","55,000.00","1,200,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","50,020.76","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"452,321.66"
3140 Resultados por aplicar,"16,503.65","27,606.49","5,002.62","9,502.84","5,190.15","10,935.71",753.95,"17,758.56","53,432.29","66,781.25",731.70,"3,240.93","-27,108.03","-2,226.28","188,105.85"
314001 Resultados de ejercicios anteriores,300.81,"25,622.29","1,212.15","7,815.30","4,816.18","10,741.50",573.21,"17,162.67","50,231.08","63,354.98",606.75,"2,940.82","-26,663.20","-2,435.14","156,279.40"
314002 Resultados del presente ejercicio,"16,202.83","1,984.19","3,790.47","1,687.55",373.97,194.21,180.74,595.89,"3,201.22","3,426.28",124.96,300.11,-444.82,208.86,"31,826.45"
32 Patrimonio restringido,"83,019.70","27,548.59","39,725.44","23,530.42","4,399.19","13,642.95","2,797.36","13,637.93","31,391.80","24,887.82",743.73,"2,503.12",0.00,"9,312.09","277,140.14"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,342.76","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,466.17"
3230 Recuperaciones de activos castigados,0.00,10.28,"1,208.22",554.88,0.00,0.00,51.13,228.01,159.50,999.10,0.00,0.00,0.00,41.74,"3,252.87"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"44,488.21",351.10,"15,083.05","4,289.62",31.38,"3,501.04","1,434.45","4,676.42","5,800.14","5,297.90",1.50,146.36,0.00,"4,571.24","89,672.40"
Total patrimonio,"538,296.38","187,668.37","297,349.35","128,083.48","42,967.31","46,046.18","60,157.24","114,487.25","234,200.45","291,121.68","24,692.45","36,668.95","52,899.44","62,934.00","2,117,572.54"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"4,941,964.44","1,666,732.19","2,849,890.66","1,138,400.52","223,222.57","419,217.13","447,766.05","1,280,406.55","2,107,938.48","2,760,688.27","78,227.71","365,391.10","475,872.01","648,795.72","19,404,513.39"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"9,207.84","11,966.07","13,719.40","1,166.33",0.00,0.00,"7,703.25",16.98,456.86,"40,882.64",0.00,403.40,0.00,0.00,"85,522.77"
5120 Contingencias por avales y fianzas,"130,590.58","46,693.97","85,100.77","13,836.97","8,329.53","6,383.48","3,227.68","9,249.86","123,792.96","71,014.36",0.00,"17,888.63",0.00,"2,766.60","518,875.37"
5131 Compromisos por operaciones en moneda extranjera,"3,541.67",121.03,0.00,0.00,"2,439.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,102.62"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"143,340.09","58,781.08","98,820.17","15,003.29","10,769.45","6,383.48","10,930.93","9,266.84","124,249.82","111,897.00",0.00,"18,292.03",0.00,"2,766.60","610,500.76"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,085,304.53","1,725,513.27","2,948,710.83","1,153,403.81","233,992.02","425,600.61","458,696.98","1,289,673.39","2,232,188.30","2,872,585.26","78,227.71","383,683.13","475,872.01","651,562.31","20,015,014.16"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 21 de agosto de 2019, Banco Azteca El Salvador, S. A. cambio su razón social a Banco Abank, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
