Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de julio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
212 Títulos de emisión propia," 51,285.52 "," 135,982.00 "," 126,630.28 "," 398,921.06 ", -   , -   ," 39,654.49 "," 118,220.65 "," 7,675.37 "," 60,268.26 "," 16,143.66 "," 8,091.00 "," 98,550.89 "," 1,061,423.19 ",
2120 Títulos de emisión propia," 51,285.52 "," 135,982.00 "," 126,630.28 "," 398,921.06 ", -   , -   ," 39,654.49 "," 118,220.65 "," 7,675.37 "," 60,268.26 "," 16,143.66 "," 8,091.00 "," 98,550.89 "," 1,061,423.19 ",
213 Obligaciones a la vista," 21,407.57 "," 17,254.11 "," 13,223.95 "," 28,234.42 "," 1,072.41 ", 23.75 ," 6,207.44 "," 20,974.52 ", 248.55 ," 5,431.70 "," 2,053.36 "," 1,756.02 "," 1,224.06 "," 119,111.86 ",
2130 Obligaciones a la vista," 21,407.57 "," 17,254.11 "," 13,223.95 "," 28,234.42 "," 1,072.41 ", 23.75 ," 6,207.44 "," 20,974.52 ", 248.55 ," 5,431.70 "," 2,053.36 "," 1,756.02 "," 1,224.06 "," 119,111.86 ",
22 Otros pasivos," 250,254.02 "," 76,210.48 "," 48,939.52 "," 12,153.94 "," 4,690.21 "," 31,933.31 "," 21,788.54 "," 45,982.57 "," 3,065.75 "," 8,898.04 "," 6,061.98 "," 6,337.48 "," 10,050.60 "," 526,366.45 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 198,583.67 "," 35,205.45 "," 20,441.74 "," 7,393.48 "," 2,156.45 "," 23,647.90 "," 13,184.79 "," 13,325.91 "," 1,195.81 "," 6,022.73 "," 3,714.03 "," 4,879.89 "," 5,968.97 "," 335,720.82 ",
2220 Cuentas por pagar," 178,547.63 "," 25,123.73 "," 17,007.08 "," 6,406.33 "," 1,425.72 "," 21,511.94 "," 9,660.95 "," 10,676.83 ", 839.68 ," 4,887.24 "," 3,094.92 "," 2,395.83 "," 5,881.54 "," 287,459.43 ",
2221 Impuestos," 20,036.04 "," 10,081.73 "," 3,434.66 ", 987.15 , 730.73 ," 2,135.96 "," 3,523.84 "," 2,649.08 ", 356.13 ," 1,135.49 ", 619.10 ," 2,484.06 ", 87.43 ," 48,261.39 ",
