Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 98,771.51 "," 59,020.56 "," 137,916.91 "," 6,087.81 "," 3,980.31 ", -   ," 6,675.34 "," 147,288.56 ", -   ," 19,169.07 "," 7,318.00 ", -   ," 8,757.37 "," 494,985.44 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,187,632.98 "," 4,309,693.53 "," 3,503,579.68 "," 2,295,994.69 "," 243,306.63 "," 499,037.60 "," 1,465,592.23 "," 3,846,458.74 "," 204,900.89 "," 788,977.49 "," 897,705.61 "," 269,110.86 "," 1,316,057.95 "," 25,828,048.89 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,303,885.17 "," 3,675,849.65 "," 2,942,482.87 "," 2,055,532.01 "," 189,569.73 "," 392,052.71 "," 1,317,523.98 "," 3,297,926.99 "," 167,220.93 "," 651,155.33 "," 781,565.17 "," 223,807.98 "," 1,166,078.63 "," 22,164,651.15 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 5,174,099.85 "," 3,517,635.07 "," 2,737,296.58 "," 1,627,606.45 "," 187,722.94 "," 392,024.76 "," 1,270,722.58 "," 3,131,443.04 "," 158,151.78 "," 595,071.83 "," 756,725.00 "," 210,784.44 "," 999,730.27 "," 20,759,014.60 ",,
2110 Depósitos a la vista," 3,668,103.55 "," 2,167,209.75 "," 1,455,455.93 "," 683,180.36 "," 150,031.57 "," 250,060.69 "," 574,505.06 "," 1,846,531.78 "," 19,515.07 "," 214,492.58 "," 250,728.70 "," 47,503.30 "," 321,278.17 "," 11,648,596.50 ",,
2111 Depósitos pactados hasta un año plazo," 940,759.33 "," 1,007,388.93 "," 977,462.83 "," 634,673.27 "," 1,007.87 "," 108,784.66 "," 457,152.06 "," 889,539.55 "," 93,890.49 "," 284,616.87 "," 327,477.08 "," 85,986.24 "," 328,443.63 "," 6,137,182.81 ",,
2112 Depósitos pactados a más de un año plazo," 109,040.96 "," 35,212.31 "," 73,705.06 "," 199,285.40 ", -   , 28.65 ," 42,608.54 "," 91,765.86 "," 23,209.02 "," 7,351.33 "," 16,794.15 "," 4,038.13 "," 170,281.29 "," 773,320.70 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,459.36 "," 23,459.36 ",,
2114 Depósitos restringidos e inactivos," 80,224.56 "," 78,557.29 "," 57,547.72 "," 32,995.46 ", 326.95 ," 9,669.93 "," 29,440.65 "," 19,912.32 "," 2,979.73 "," 4,457.58 "," 8,822.69 "," 4,088.33 "," 11,198.33 "," 340,221.55 ",,
2115 Operaciones con pacto de retrocompra, -   , -   ," 2,115.22 ", -   , -   , -   , -   , -   ," 10,000.00 ", -   ," 3,150.00 ", -   , -   ," 15,265.22 ",,
2116 Préstamos pactados hasta un año plazo, -   ," 1,284.94 "," 53,737.11 "," 15,074.58 "," 35,042.89 ", 16.16 ," 21,295.81 "," 131,099.67 "," 4,423.52 "," 30,132.99 "," 7,691.59 "," 24,222.17 "," 20,334.81 "," 344,356.24 ",,
2117 Préstamos pactados a más de un año plazo," 72,127.93 "," 74,203.85 "," 57,403.01 "," 58,857.80 ", -   ," 2,885.22 "," 46,574.03 "," 152,593.87 ", -   ," 54,020.49 "," 39,156.35 "," 33,001.54 "," 77,776.09 "," 668,600.18 ",,
2118 Préstamos pactados a cinco o mas años plazo," 234,132.50 "," 153,778.00 "," 59,869.70 "," 3,539.58 "," 1,313.66 "," 20,579.42 "," 53,215.01 ", -   ," 4,133.94 ", -   ," 102,904.45 "," 11,944.73 "," 46,958.59 "," 692,369.59 ",,
2119 Préstamos subordinados," 69,711.02 ", -   , -   , -   , -   , -   ," 45,931.44 ", -   , -   , -   , -   , -   , -   ," 115,642.46 ",,
212 Títulos de emisión propia," 117,271.62 "," 143,436.88 "," 195,582.20 "," 398,344.85 ", -   , -   ," 41,364.60 "," 148,624.68 "," 7,892.90 "," 54,818.07 "," 21,193.76 "," 11,052.03 "," 165,780.79 "," 1,305,362.38 ",,
2120 Títulos de emisión propia," 117,271.62 "," 143,436.88 "," 195,582.20 "," 398,344.85 ", -   , -   ," 41,364.60 "," 148,624.68 "," 7,892.90 "," 54,818.07 "," 21,193.76 "," 11,052.03 "," 165,780.79 "," 1,305,362.38 ",,
213 Obligaciones a la vista," 12,513.70 "," 14,777.70 "," 9,604.09 "," 29,580.71 "," 1,846.79 ", 27.95 ," 5,436.79 "," 17,859.27 "," 1,176.25 "," 1,265.42 "," 3,646.41 "," 1,971.50 ", 567.57 ," 100,274.17 ",,
2130 Obligaciones a la vista," 12,513.70 "," 14,777.70 "," 9,604.09 "," 29,580.71 "," 1,846.79 ", 27.95 ," 5,436.79 "," 17,859.27 "," 1,176.25 "," 1,265.42 "," 3,646.41 "," 1,971.50 ", 567.57 ," 100,274.17 ",,
22 Otros pasivos," 111,742.95 "," 85,426.90 "," 44,673.87 "," 11,251.74 "," 6,279.10 "," 30,412.49 "," 22,173.70 "," 39,133.66 "," 2,244.53 "," 15,718.39 "," 5,611.69 "," 5,857.09 "," 11,344.21 "," 391,870.33 ",,
