Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Enero de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2220 Cuentas por pagar,"65,781.69","49,324.39","31,200.42","7,517.80","1,842.59","22,977.30","10,378.31","24,542.59","1,604.50","41,553.72","7,991.03","2,310.82","267,025.16"
2230 Retenciones,"1,666.18","3,189.00","1,251.81",470.87,253.34,226.44,"1,240.81","1,089.21",313.00,214.21,380.60,462.03,"10,757.50"
2240 Provisiones,"30,757.41","10,286.92","4,993.01","5,073.82","1,817.60","3,074.60","3,529.84","8,345.48","1,452.89",162.16,650.69,"2,497.05","72,641.46"
224003 Otras provisiones,"11,008.71",180.14,0.00,812.14,152.66,3.21,"1,851.02","3,662.52",625.53,49.24,0.00,"1,174.23","19,519.41"
2250 Créditos diferidos,"20,301.79","32,926.28","14,704.82","1,029.88",37.41,"5,701.47","2,754.25","8,738.95",196.59,612.77,"1,092.67",60.59,"88,157.46"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,901.02",0.00,0.00,0.00,0.00,0.00,"30,757.71",0.00,0.00,0.00,0.00,0.00,"101,658.74"
241 deuda subordinada a plazo fijo,"70,901.02",0.00,0.00,0.00,0.00,0.00,"30,757.71",0.00,0.00,0.00,0.00,0.00,"101,658.74"
2413 deuda subordinada a cinco o mas años,"70,901.02",0.00,0.00,0.00,0.00,0.00,"30,757.71",0.00,0.00,0.00,0.00,0.00,"101,658.74"
Total pasivos,"4,954,233.19","3,467,343.19","2,695,405.66","1,878,172.54","183,048.15","397,891.96","1,212,460.74","2,798,537.28","122,352.42","501,909.70","716,284.91","967,057.76","19,894,697.50"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"591,848.57","369,117.60","322,706.02","142,691.50","32,152.65","43,482.61","103,102.50","303,786.46","24,699.74","65,668.42","111,468.08","97,298.27","2,208,022.40"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","22,000.00","28,311.68","70,788.87","161,000.44","20,333.67","50,000.00","102,270.00","90,000.00","1,294,325.26"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","26,879.52","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,045.57","1,921.78","479,934.72"
3140 Resultados por aplicar,"137,413.44","74,227.95","44,449.19","18,393.22","6,000.64","11,056.96","15,380.18","102,535.91",661.27,"13,114.68","5,152.51","5,376.48","433,762.42"
314001 Resultados de ejercicios anteriores,"127,240.27","70,360.76","41,659.73","17,484.85","5,653.18","10,494.53","14,731.47","99,479.58",0.42,"12,604.65","4,644.38","4,863.01","409,216.83"
314002 Resultados del presente ejercicio,"10,173.17","3,867.19","2,789.45",908.36,347.45,562.43,648.71,"3,056.33",660.85,510.03,508.13,513.47,"24,545.59"
32 Patrimonio restringido,"75,188.91","60,853.73","26,715.31","31,364.16","1,385.33","14,712.48","17,668.87","26,940.03","6,723.55","3,824.35","8,075.61","11,224.17","284,676.51"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,373.00","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,686.20"
3230 Recuperaciones de activos castigados,0.00,342.14,739.80,"4,517.43",0.00,0.00,437.21,707.98,0.00,0.00,37.00,98.35,"6,879.93"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"38,095.63","3,896.61","6,521.01","4,939.58",26.91,"3,881.22","3,552.87","4,312.52",0.62,252.35,"2,035.67","4,955.68","72,470.65"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"667,037.48","429,971.33","349,421.33","174,055.66","33,537.98","58,195.09","120,771.37","330,726.48","31,423.29","69,492.77","119,543.70","108,522.44","2,492,698.91"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,621,270.67","3,897,314.52","3,044,826.99","2,052,228.20","216,586.13","456,087.04","1,333,232.10","3,129,263.76","153,775.71","571,402.46","835,828.61","1,075,580.20","22,387,396.41"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"14,140.95","18,143.24","10,631.99",192.38,0.00,0.00,0.00,"53,825.29",0.00,"1,454.21","4,512.59",0.00,"102,900.64"
5120 Contingencias por avales y fianzas,"84,089.80","93,782.19","102,959.89","17,987.89","5,242.12","5,716.65","10,278.61","105,382.05",0.00,"18,709.81","1,908.77","3,963.50","450,021.27"
5131 Compromisos por operaciones en moneda extranjera,"17,390.14",0.00,0.00,0.00,974.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,364.50"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"115,620.88","111,925.42","113,591.88","18,180.28","6,216.48","5,716.65","10,278.61","159,207.33",0.00,"20,164.02","6,421.36","3,963.50","571,286.41"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,736,891.55","4,009,239.94","3,158,418.87","2,070,408.48","222,802.61","461,803.69","1,343,510.71","3,288,471.10","153,775.71","591,566.48","842,249.97","1,079,543.70","22,958,682.83"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
