Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,383.27",0.00,0.00,0.00,0.00,0.00,"30,383.27"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,383.27",0.00,0.00,0.00,0.00,0.00,"30,383.27"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,383.27",0.00,0.00,0.00,0.00,0.00,"30,383.27"
Total pasivos,"4,765,462.79","3,210,928.18","2,597,083.13","1,284,526.41","233,865.53","372,847.75","367,358.25","1,210,789.60","2,603,384.19","56,334.48","364,691.43","484,797.74","694,707.29","18,246,776.76"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"489,237.26","349,631.00","265,164.82","107,591.81","41,528.51","34,718.07","55,713.32","90,199.59","248,710.47","23,443.02","34,986.40","53,648.98","62,051.46","1,856,624.70"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","19,057.46","51,598.94","70,788.87","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,253,415.52"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","32,225.25","3,724.30","2,736.48","3,752.14","15,309.09","40,250.11","3,032.91","1,227.76",117.31,946.82,"481,282.00"
3140 Resultados por aplicar,"13,586.54","54,741.34","5,543.53","1,932.26","7,804.21","12,924.13",362.23,"4,101.63","47,459.93",76.44,"3,758.64","-26,468.33","-3,895.36","121,927.18"
314001 Resultados de ejercicios anteriores,"-2,033.13","49,423.23","2,067.99",25.00,"7,025.09","12,410.31",73.02,"3,213.34","43,262.90",0.01,"2,866.19","-26,663.20","-4,349.34","87,321.38"
314002 Resultados del presente ejercicio,"15,619.67","5,318.11","3,475.54","1,907.26",779.12,513.82,289.21,888.29,"4,197.03",76.43,892.45,194.88,453.98,"34,605.80"
32 Patrimonio restringido,"112,215.15","71,760.86","44,150.15","31,843.30","4,494.87","14,143.32","3,126.70","32,826.30","35,933.42","2,212.13","4,436.47","1,009.47","15,100.51","373,252.67"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","18,447.35","4,463.49",0.00,"2,410.80","26,034.39","27,863.74","2,211.09","4,350.27",906.64,"6,036.64","219,984.54"
3220 Revaluaciones,"9,850.58","14,158.79","4,346.26","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,"2,230.16","45,690.00"
3230 Recuperaciones de activos castigados,0.00,179.53,"1,143.52","2,458.86",0.00,0.00,45.26,287.73,"1,274.71",0.00,0.00,0.00,41.02,"5,430.63"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"52,750.36","4,664.35","13,772.64","5,974.80",31.38,"4,001.41",670.64,"6,504.18","6,794.97",1.04,86.20,102.84,"6,760.00","102,114.80"
Total patrimonio,"601,452.41","421,391.86","309,314.97","139,435.11","46,023.38","48,861.39","58,840.02","123,025.89","284,643.89","25,655.15","39,422.87","54,658.45","77,151.97","2,229,877.37"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,366,915.20","3,632,320.04","2,906,398.10","1,423,961.52","279,888.90","421,709.14","426,198.27","1,333,815.49","2,888,028.08","81,989.64","404,114.30","539,456.19","771,859.26","20,476,654.13"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"19,559.11","21,977.13","12,871.74","9,684.71",83.47,0.00,"6,537.13",79.73,"29,576.14",0.00,771.75,64.99,0.00,"101,205.90"
5120 Contingencias por avales y fianzas,"132,189.14","128,131.45","78,262.69","15,818.37","10,638.99","6,377.79","4,096.23","10,519.01","66,436.63",0.00,"13,811.46",0.00,"5,140.50","471,422.27"
5131 Compromisos por operaciones en moneda extranjera,541.40,0.00,0.00,0.00,55.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597.08
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"152,289.64","150,108.58","91,134.44","25,503.08","10,778.14","6,377.79","10,633.36","10,598.74","96,012.77",0.00,"14,583.21",64.99,"5,140.50","573,225.24"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,519,204.84","3,782,428.62","2,997,532.53","1,449,464.60","290,667.04","428,086.93","436,831.63","1,344,414.23","2,984,040.86","81,989.64","418,697.51","539,521.18","776,999.75","21,049,879.37"
 ,,,,,,,,,,,,,,
"1/ A partir de noviembre 2020, Banco Cuscatlán de El Salvador, S.A.,  absorbió a Banco Cuscatlán Sv, S.A.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
