Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de agosto de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2110 Depósitos a la vista," 3,491,523.55 "," 2,064,156.23 "," 1,367,233.09 "," 648,282.31 "," 139,131.40 "," 244,866.48 "," 559,915.97 "," 1,749,423.98 "," 16,353.70 "," 206,784.75 "," 252,775.78 "," 36,372.59 "," 297,089.98 "," 11,073,909.83 ",,
2111 Depósitos pactados hasta un año plazo," 895,752.23 "," 982,444.72 "," 925,992.48 "," 679,596.58 ", -   ," 102,692.37 "," 428,392.51 "," 863,161.15 "," 85,625.18 "," 263,480.93 "," 362,574.68 "," 83,361.25 "," 303,459.94 "," 5,976,534.02 ",,
2112 Depósitos pactados a más de un año plazo," 104,805.44 "," 36,312.22 "," 98,864.15 "," 194,670.00 ", -   , 21.57 ," 37,917.47 "," 92,454.79 "," 24,436.85 "," 7,761.39 "," 19,757.02 "," 4,167.43 "," 169,663.58 "," 790,831.92 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,487.99 "," 21,487.99 ",,
2114 Depósitos restringidos e inactivos," 82,158.22 "," 64,238.43 "," 54,737.25 "," 29,123.42 "," 1,792.26 "," 9,699.40 "," 29,050.57 "," 18,025.43 "," 2,789.09 "," 3,721.03 "," 7,881.37 "," 3,166.66 "," 10,235.50 "," 316,618.64 ",,
2115 Operaciones con pacto de retrocompra, 0.13 , -   ," 1,600.00 "," 10,444.93 ", -   , -   , -   , -   ," 3,700.00 ", -   ," 6,843.96 ", -   ," 10,748.36 "," 33,337.39 ",,
2116 Préstamos pactados hasta un año plazo," 122,032.46 "," 47,210.43 "," 79,768.26 "," 15,146.06 "," 35,031.26 ", 16.16 ," 32,864.66 "," 112,377.19 "," 5,508.06 "," 34,987.86 "," 9,217.62 "," 22,625.30 "," 18,297.40 "," 535,082.71 ",,
2117 Préstamos pactados a más de un año plazo," 73,634.07 "," 27,787.89 "," 5,178.31 "," 46,875.28 ", -   ," 3,112.47 "," 34,920.33 "," 108,439.12 "," 1,555.33 "," 30,780.41 "," 40,643.09 "," 41,696.33 "," 70,967.01 "," 485,589.63 ",,
2118 Préstamos pactados a cinco o mas años plazo," 237,553.37 "," 168,839.11 "," 71,386.69 "," 4,259.34 "," 1,410.50 "," 20,160.53 "," 55,821.77 ", -   ," 4,032.06 ", -   ," 64,230.97 "," 15,308.90 "," 53,357.09 "," 696,360.33 ",,
2119 Préstamos subordinados," 70,931.51 ", -   , -   , -   , -   , -   ," 45,896.86 ", -   , -   , -   , -   , -   , -   ," 116,828.36 ",,
