Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Junio de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
212 Préstamos,"544,360.56","254,504.57","233,365.79","94,623.55","20,001.68","13,188.34","4,291.81","144,250.54","267,831.44","3,016.44","38,630.01","74,679.06","148,561.98","1,841,305.76"
2121 Préstamos pactados hasta un año plazo,"216,311.32","83,844.89","115,709.45","12,019.25","20,001.68",16.20,"3,475.87","4,420.69","158,762.17","3,016.44","32,327.65","2,534.76","10,756.96","663,197.34"
2122 Préstamos pactados a mas de un año plazo,"75,033.46",78.26,"5,947.49","70,562.38",0.00,"6,475.23",815.94,"43,641.39","109,069.27",0.00,"6,302.36","48,120.37","101,671.64","467,717.80"
2123 Préstamos pactados a cinco o mas años plazo,"253,015.77","170,581.42","111,708.85","12,041.92",0.00,"6,696.91",0.00,"96,188.45",0.00,0.00,0.00,"24,023.93","36,133.38","710,390.63"
2130 Obligaciones a la vista,"22,605.89","26,936.30","10,595.29","31,740.12","6,210.75",155.42,"1,182.87","8,841.94","28,798.40",393.19,"3,976.94","2,519.37","10,563.57","154,520.04"
214 Títulos de emisión propia,"162,055.26","152,812.42","201,590.95",0.00,0.00,0.00,"25,098.63","20,050.11","95,703.29","5,615.64",0.00,"42,429.52","126,689.94","832,045.77"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,615.64",0.00,0.00,"12,522.77","18,138.41"
2142 Pactados a mas de un año plazo,"162,055.26","152,812.42","201,590.95",0.00,0.00,0.00,"25,098.63","20,050.11","95,703.29",0.00,0.00,"42,429.52","114,167.17","813,907.36"
215 Documentos transados,0.00,0.00,"4,000.05",0.00,0.00,0.00,0.00,0.00,"3,854.79",0.00,0.00,0.00,0.00,"7,854.84"
2151 Documentos transados hasta un año plazo,0.00,0.00,"4,000.05",0.00,0.00,0.00,0.00,0.00,"3,854.79",0.00,0.00,0.00,0.00,"7,854.84"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"88,804.76","80,802.50","48,901.78","13,277.87","2,855.56","29,466.19","3,390.14","17,309.53","36,050.44","3,370.63","40,795.68","11,153.83","5,875.97","382,054.88"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"38,021.74","60,034.38","28,029.89","7,007.98",802.12,"20,749.64","2,857.64","9,325.90","18,729.47","1,850.83","39,710.80","9,941.96","1,890.69","238,953.03"
2230 Retenciones,"2,879.07","3,241.28","1,806.47",583.33,192.75,312.79,135.22,"1,379.98","1,638.13",288.28,213.98,443.46,626.36,"13,741.09"
2240 Provisiones,"26,407.55","10,350.74","5,596.45","4,518.70","1,800.02","2,920.92",338.32,"3,511.68","8,026.86","1,172.19",335.55,376.41,"3,302.08","68,657.49"
224003 Otras provisiones,"8,893.76",270.04,0.00,703.71,73.01,12.56,0.00,"1,409.01","4,265.81",327.66,46.07,0.00,"1,723.55","17,725.18"
2250 Créditos diferidos,"21,496.40","7,176.09","13,468.98","1,167.86",60.68,"5,482.84",58.97,"3,091.98","7,655.98",59.32,535.35,391.99,56.83,"60,703.27"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,272.89",0.00,0.00,0.00,0.00,0.00,0.00,"30,413.21",0.00,0.00,0.00,0.00,0.00,"100,686.10"
241 deuda subordinada a plazo fijo,"70,272.89",0.00,0.00,0.00,0.00,0.00,0.00,"30,413.21",0.00,0.00,0.00,0.00,0.00,"100,686.10"
2413 deuda subordinada a cinco o mas años,"70,272.89",0.00,0.00,0.00,0.00,0.00,0.00,"30,413.21",0.00,0.00,0.00,0.00,0.00,"100,686.10"
Total pasivos,"5,130,398.77","3,408,164.64","2,591,739.10","1,620,521.14","190,366.60","417,584.22","262,557.51","1,212,387.87","2,784,849.99","107,659.40","424,622.15","505,267.09","846,489.87","19,502,608.33"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"516,590.21","344,629.63","302,840.45","131,465.91","35,606.98","40,795.90","58,180.12","107,904.00","280,401.72","24,945.50","62,551.54","54,532.74","95,338.48","2,055,783.20"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","50,000.00","80,000.00","90,000.00","1,304,563.98"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","31,041.63","3,848.05","3,306.94","3,891.27","16,075.33","40,250.11","3,260.83","1,795.08",342.14,"1,582.84","480,773.99"
3140 Resultados por aplicar,"62,155.09","49,739.98","24,583.62","26,989.99","1,758.94","12,283.04","2,689.90","21,039.80","79,151.18","1,350.99","10,756.46","-25,809.40","3,755.64","270,445.23"
314001 Resultados de ejercicios anteriores,796.79,"21,098.76","3,100.74","17,486.64","1,291.43","9,257.61","2,028.75","17,611.60","57,896.87",0.23,"8,081.74","-26,663.20","1,910.80","113,898.76"
