Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A. 1/","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,557,274.84","3,800,475.63","2,916,713.02","1,774,754.50","221,034.72","471,892.32","1,353,684.04","3,144,668.11","140,494.90","516,170.82","848,145.57","950,202.28","21,695,510.75"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"24,364.04","19,219.57","15,055.98","3,469.90",0.00,0.00,0.00,"28,857.07",0.00,"1,358.72","4,771.09",0.00,"97,096.38"
5120 Contingencias por avales y fianzas,"119,615.38","107,145.99","95,709.95","15,328.22","8,864.19","6,351.79","11,190.24","123,324.11",0.00,"20,499.19","2,381.78","12,547.78","522,958.64"
5131 Compromisos por operaciones en moneda extranjera,"11,695.99",305.01,0.00,0.00,227.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,228.63"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"155,675.42","126,670.58","110,765.93","18,798.12","9,091.82","6,351.79","11,190.24","152,181.18",0.00,"21,857.92","7,152.87","12,547.78","632,283.65"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,712,950.26","3,927,146.21","3,027,478.95","1,793,552.62","230,126.54","478,244.11","1,364,874.28","3,296,849.29","140,494.90","538,028.73","855,298.44","962,750.06","22,327,794.40"
 ,,,,,,,,,,,,,
"1/ A partir de julio 2022, Banco Azul, S.A.,  absorbió a Banco G&T, S.A.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
